,Mouse,Amplitude,Miniscope,TimeBin,SleepState,Proportion,Sleep
1,Ca_EEG_Pilot2,1.5mA,Miniscope,22.0,nrem,20.133111480865225,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,22.0,rem,0.0,sleep
0,Ca_EEG_Pilot2,1.5mA,Miniscope,23.0,wake,76.2063227953411,wake
1,Ca_EEG_Pilot2,1.5mA,Miniscope,23.0,nrem,23.793677204658902,sleep
2,Ca_EEG_Pilot2,1.5mA,Miniscope,23.0,rem,0.0,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,0.0,wake,72.54575707154743,wake
1,Ca_EEG2-1,1.5mA,Miniscope,0.0,nrem,25.45757071547421,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,0.0,rem,1.9966722129783694,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,1.0,wake,60.89850249584027,wake
1,Ca_EEG2-1,1.5mA,Miniscope,1.0,nrem,36.938435940099836,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,1.0,rem,2.1630615640599005,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,2.0,nrem,65.72379367720465,sleep
1,Ca_EEG2-1,1.5mA,Miniscope,2.0,wake,22.628951747088184,wake
2,Ca_EEG2-1,1.5mA,Miniscope,2.0,rem,11.647254575707153,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,3.0,wake,99.33444259567388,wake
1,Ca_EEG2-1,1.5mA,Miniscope,3.0,nrem,0.49916805324459235,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,3.0,rem,0.16638935108153077,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,4.0,nrem,72.71214642262895,sleep
1,Ca_EEG2-1,1.5mA,Miniscope,4.0,wake,19.966722129783694,wake
2,Ca_EEG2-1,1.5mA,Miniscope,4.0,rem,7.321131447587355,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,5.0,wake,64.05990016638935,wake
1,Ca_EEG2-1,1.5mA,Miniscope,5.0,nrem,30.782029950083196,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,5.0,rem,5.158069883527454,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,6.0,wake,99.66722129783693,wake
1,Ca_EEG2-1,1.5mA,Miniscope,6.0,nrem,0.33277870216306155,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,6.0,rem,0.0,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,7.0,wake,60.56572379367721,wake
1,Ca_EEG2-1,1.5mA,Miniscope,7.0,nrem,36.43926788685524,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,7.0,rem,2.995008319467554,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,8.0,wake,51.9134775374376,wake
1,Ca_EEG2-1,1.5mA,Miniscope,8.0,nrem,43.59400998336106,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,8.0,rem,4.492512479201332,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,9.0,wake,98.66888519134775,wake
1,Ca_EEG2-1,1.5mA,Miniscope,9.0,nrem,1.3311148086522462,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,9.0,rem,0.0,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,10.0,nrem,66.38935108153078,sleep
1,Ca_EEG2-1,1.5mA,Miniscope,10.0,wake,24.792013311148086,wake
2,Ca_EEG2-1,1.5mA,Miniscope,10.0,rem,8.818635607321132,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,11.0,wake,77.3710482529118,wake
1,Ca_EEG2-1,1.5mA,Miniscope,11.0,nrem,20.965058236272878,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,11.0,rem,1.6638935108153077,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,12.0,wake,99.83361064891847,wake
1,Ca_EEG2-1,1.5mA,Miniscope,12.0,nrem,0.16638935108153077,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,12.0,rem,0.0,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,13.0,wake,99.83361064891847,wake
1,Ca_EEG2-1,1.5mA,Miniscope,13.0,nrem,0.16638935108153077,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,13.0,rem,0.0,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,14.0,wake,100.0,wake
1,Ca_EEG2-1,1.5mA,Miniscope,14.0,nrem,0.0,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,14.0,rem,0.0,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,15.0,wake,93.67720465890183,wake
1,Ca_EEG2-1,1.5mA,Miniscope,15.0,nrem,5.990016638935108,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,15.0,rem,0.33277870216306155,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,16.0,wake,100.0,wake
1,Ca_EEG2-1,1.5mA,Miniscope,16.0,nrem,0.0,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,16.0,rem,0.0,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,17.0,wake,100.0,wake
1,Ca_EEG2-1,1.5mA,Miniscope,17.0,nrem,0.0,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,17.0,rem,0.0,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,18.0,nrem,53.57737104825291,sleep
1,Ca_EEG2-1,1.5mA,Miniscope,18.0,wake,41.26455906821963,wake
2,Ca_EEG2-1,1.5mA,Miniscope,18.0,rem,5.158069883527454,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,19.0,nrem,52.24625623960066,sleep
1,Ca_EEG2-1,1.5mA,Miniscope,19.0,wake,41.76372712146423,wake
2,Ca_EEG2-1,1.5mA,Miniscope,19.0,rem,5.990016638935108,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,20.0,wake,74.87520798668885,wake
1,Ca_EEG2-1,1.5mA,Miniscope,20.0,nrem,22.961730449251245,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,20.0,rem,2.1630615640599005,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,21.0,wake,81.86356073211314,wake
1,Ca_EEG2-1,1.5mA,Miniscope,21.0,nrem,16.80532445923461,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,21.0,rem,1.3311148086522462,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,22.0,wake,98.83527454242929,wake
1,Ca_EEG2-1,1.5mA,Miniscope,22.0,nrem,1.1647254575707155,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,22.0,rem,0.0,sleep
0,Ca_EEG2-1,1.5mA,Miniscope,23.0,wake,75.20798668885192,wake
1,Ca_EEG2-1,1.5mA,Miniscope,23.0,nrem,23.294509151414307,sleep
2,Ca_EEG2-1,1.5mA,Miniscope,23.0,rem,1.497504159733777,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,0.0,wake,70.21630615640599,wake
1,Ca_EEG2-2,1.5mA,Miniscope,0.0,nrem,29.61730449251248,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,0.0,rem,0.16638935108153077,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,1.0,nrem,56.738768718802,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,1.0,wake,35.94009983361065,wake
2,Ca_EEG2-2,1.5mA,Miniscope,1.0,rem,7.321131447587355,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,2.0,wake,82.02995008319468,wake
1,Ca_EEG2-2,1.5mA,Miniscope,2.0,nrem,17.970049916805326,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,2.0,rem,0.0,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,3.0,nrem,75.37437603993344,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,3.0,wake,17.970049916805326,wake
2,Ca_EEG2-2,1.5mA,Miniscope,3.0,rem,6.655574043261231,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,4.0,wake,63.42857142857142,wake
1,Ca_EEG2-2,1.5mA,Miniscope,4.0,nrem,36.19047619047619,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,4.0,rem,0.38095238095238093,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,5.0,nrem,80.69883527454242,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,5.0,wake,10.64891846921797,wake
2,Ca_EEG2-2,1.5mA,Miniscope,5.0,rem,8.652246256239602,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,6.0,nrem,68.38602329450914,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,6.0,wake,21.46422628951747,wake
2,Ca_EEG2-2,1.5mA,Miniscope,6.0,rem,10.149750415973378,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,7.0,nrem,77.3710482529118,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,7.0,rem,17.304492512479204,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,7.0,wake,5.324459234608985,wake
0,Ca_EEG2-2,1.5mA,Miniscope,8.0,nrem,55.74043261231281,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,8.0,wake,38.60232945091514,wake
2,Ca_EEG2-2,1.5mA,Miniscope,8.0,rem,5.657237936772046,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,9.0,nrem,62.562396006655575,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,9.0,wake,28.1198003327787,wake
2,Ca_EEG2-2,1.5mA,Miniscope,9.0,rem,9.317803660565724,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,10.0,nrem,63.89351081530782,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,10.0,wake,30.449251247920134,wake
2,Ca_EEG2-2,1.5mA,Miniscope,10.0,rem,5.657237936772046,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,11.0,nrem,56.2396006655574,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,11.0,wake,39.60066555740433,wake
2,Ca_EEG2-2,1.5mA,Miniscope,11.0,rem,4.159733777038269,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,12.0,wake,94.50915141430949,wake
1,Ca_EEG2-2,1.5mA,Miniscope,12.0,nrem,5.490848585690515,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,12.0,rem,0.0,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,13.0,wake,100.0,wake
1,Ca_EEG2-2,1.5mA,Miniscope,13.0,nrem,0.0,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,13.0,rem,0.0,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,14.0,wake,75.04159733777038,wake
