,Mouse,Amplitude,Context,Freezing
0,Ca_EEG_Pilot1,High Shock,Aversive,44.34811603867956
1,Ca_EEG_Pilot2,High Shock,Aversive,20.297910182303244
2,Ca_EEG2-1,High Shock,Aversive,63.86974883307402
3,Ca_EEG2-2,High Shock,Aversive,70.89353189597688
4,Ca_EEG2-3,High Shock,Aversive,56.61258057346077
5,Ca_EEG3-1,Low Shock,Aversive,33.707490553456324
6,Ca_EEG3-2,Low Shock,Aversive,18.21515892420538
7,Ca_EEG3-3,Low Shock,Aversive,7.82483049905524
8,Ca_EEG3-4,Low Shock,Aversive,8.456495166129569
