,Mouse,Amplitude,TimeBin,Motion
117,RLI8-5,0mA,20,2.692826286724031
118,RLI8-7,0mA,20,2.9483063001920238
119,RLI8-8,0mA,20,2.154039083138278
120,RLI8-1,0mA,21,2.546794844195376
121,RLI8-2,0mA,21,2.5995885421555256
122,RLI8-4,0mA,21,1.7215266997861023
123,RLI8-5,0mA,21,2.800826626531205
124,RLI8-7,0mA,21,2.5473020982304564
125,RLI8-8,0mA,21,0.6470876306682772
126,RLI8-1,0mA,22,1.851115342731117
127,RLI8-2,0mA,22,2.3063944104642773
128,RLI8-4,0mA,22,1.5682943630268134
129,RLI8-5,0mA,22,2.302124968467375
130,RLI8-7,0mA,22,2.6635459432776987
131,RLI8-8,0mA,22,1.652060873679932
132,RLI8-1,0mA,23,2.3663155785644223
133,RLI8-2,0mA,23,2.6980623026067416
134,RLI8-4,0mA,23,2.6929150848935706
135,RLI8-5,0mA,23,2.8324496504688206
136,RLI8-7,0mA,23,3.036705078395835
137,RLI8-8,0mA,23,2.6610883069268665
138,RLI8-1,0mA,24,3.2866072038568532
139,RLI8-2,0mA,24,1.865204433113541
140,RLI8-4,0mA,24,1.8902476170212306
141,RLI8-5,0mA,24,3.014811346714836
142,RLI8-7,0mA,24,3.0807981942665017
143,RLI8-8,0mA,24,2.4005760184763454
144,RLI8-1,0mA,25,3.172260491314565
145,RLI8-2,0mA,25,2.538416060123219
146,RLI8-4,0mA,25,1.6973975035131854
147,RLI8-5,0mA,25,2.8110042669748934
148,RLI8-7,0mA,25,3.136603276550583
149,RLI8-8,0mA,25,2.661666694583155
150,RLI8-1,0mA,26,2.4854947115335375
151,RLI8-2,0mA,26,2.5619986507405823
152,RLI8-4,0mA,26,0.8147072727473559
153,RLI8-5,0mA,26,1.4939183962730798
154,RLI8-7,0mA,26,3.187238944401133
155,RLI8-8,0mA,26,2.3727110157944598
156,RLI8-1,0mA,27,3.2730259848421666
157,RLI8-2,0mA,27,2.4828645261656908
158,RLI8-4,0mA,27,0.5914324019455364
159,RLI8-5,0mA,27,2.4437428885401262
160,RLI8-7,0mA,27,2.3008939795572734
161,RLI8-8,0mA,27,1.9353903810321034
162,RLI8-1,0mA,28,3.0383940917684495
163,RLI8-2,0mA,28,2.4710019542077952
164,RLI8-4,0mA,28,0.6752239228748372
165,RLI8-5,0mA,28,2.674955527576191
166,RLI8-7,0mA,28,2.4984295963967433
167,RLI8-8,0mA,28,2.287000809705235
168,RLI8-1,0mA,29,3.4593200369621186
169,RLI8-2,0mA,29,2.5105662817262395
170,RLI8-4,0mA,29,1.0116285295471092
171,RLI8-5,0mA,29,1.2749476705933487
172,RLI8-7,0mA,29,2.8539796471317094
173,RLI8-8,0mA,29,2.3186856265799523
174,RLI8-1,0mA,30,3.3190573217116697
175,RLI8-2,0mA,30,2.5126392182701824
176,RLI8-4,0mA,30,2.4277192021345737
177,RLI8-5,0mA,30,2.247765358354019
178,RLI8-7,0mA,30,1.8008464050128545
179,RLI8-8,0mA,30,2.564805192358248
180,RLI8-1,0mA,31,2.244946433076105
181,RLI8-2,0mA,31,1.86709058792822
182,RLI8-4,0mA,31,1.935668465044245
183,RLI8-5,0mA,31,2.6162951878393583
184,RLI8-7,0mA,31,3.046396531403364
185,RLI8-8,0mA,31,2.652178430129818
186,RLI8-1,0mA,32,1.799189216178347
187,RLI8-2,0mA,32,1.8326803265212193
188,RLI8-4,0mA,32,2.6811498951067434
189,RLI8-5,0mA,32,2.3041121635088366
190,RLI8-7,0mA,32,3.367177401043036
191,RLI8-8,0mA,32,2.5325683008149853
192,RLI8-1,0mA,33,2.288638135065635
193,RLI8-2,0mA,33,2.314636457749172
194,RLI8-4,0mA,33,2.6071274790311447
195,RLI8-5,0mA,33,2.6283385018842096
196,RLI8-7,0mA,33,2.3941708224799316
197,RLI8-8,0mA,33,2.006123152091551
198,RLI8-1,0mA,34,1.7306180863656968
199,RLI8-2,0mA,34,2.3482030925772235
200,RLI8-4,0mA,34,2.773395064492795
201,RLI8-5,0mA,34,1.6519517676432791
202,RLI8-7,0mA,34,1.9269859254499726
203,RLI8-8,0mA,34,2.132080586783624
204,RLI8-1,0mA,35,1.5380636361460116
205,RLI8-2,0mA,35,2.5920261468978807
206,RLI8-4,0mA,35,1.9871249840903102
207,RLI8-5,0mA,35,1.7624333184381653
208,RLI8-7,0mA,35,2.847585844975546
209,RLI8-8,0mA,35,1.5606364182219348
210,RLI8-1,0mA,36,2.8174607493208677
211,RLI8-2,0mA,36,2.260041300305696
212,RLI8-4,0mA,36,2.1135785473769872
213,RLI8-5,0mA,36,2.611980635519297
214,RLI8-7,0mA,36,3.23900662898422
215,RLI8-8,0mA,36,1.990864692687986
216,RLI8-1,0mA,37,3.073494732606151
217,RLI8-2,0mA,37,2.272756412838309
218,RLI8-4,0mA,37,0.7700469770881617
219,RLI8-5,0mA,37,2.2557722190825547
220,RLI8-7,0mA,37,2.779748597062221
221,RLI8-8,0mA,37,1.2804083142648914
222,RLI8-1,0mA,38,2.5092274454002825
223,RLI8-2,0mA,38,2.3218610422358426
224,RLI8-4,0mA,38,1.4651882320216076
225,RLI8-5,0mA,38,2.074180682371226
226,RLI8-7,0mA,38,3.0228821995648953
227,RLI8-8,0mA,38,0.8833202797574489
228,RLI8-1,0mA,39,2.5580803679966166
229,RLI8-2,0mA,39,1.3713761204449242
230,RLI8-4,0mA,39,2.267464818262138
231,RLI8-5,0mA,39,2.686152033360089
232,RLI8-7,0mA,39,3.0599026525938333
233,RLI8-8,0mA,39,0.7648524224337849
234,RLI8-1,0mA,40,2.6919224546099203
235,RLI8-2,0mA,40,1.7606335090922185
236,RLI8-4,0mA,40,2.4301394247883765
237,RLI8-5,0mA,40,2.5378586530330245
238,RLI8-7,0mA,40,1.7859374801124548
239,RLI8-8,0mA,40,1.0691118676306912
240,RLI8-1,0mA,41,2.96659043889224
241,RLI8-2,0mA,41,1.9697559153904483
242,RLI8-4,0mA,41,1.3022946683815828
243,RLI8-5,0mA,41,2.5530990629378207
244,RLI8-7,0mA,41,1.678181529360515
245,RLI8-8,0mA,41,1.8077026049175078
246,RLI8-1,0mA,42,3.815172695950269
247,RLI8-2,0mA,42,2.416727582704713
248,RLI8-4,0mA,42,1.7486645151144211
249,RLI8-5,0mA,42,2.2328826971886806
250,RLI8-7,0mA,42,2.422616080186975
251,RLI8-8,0mA,42,1.4832381099370147
252,RLI8-1,0mA,43,2.854568659177449
253,RLI8-2,0mA,43,2.7863138338148086
254,RLI8-4,0mA,43,2.208260751846284
255,RLI8-5,0mA,43,1.3320015202620075
256,RLI8-7,0mA,43,3.601580771626104
257,RLI8-8,0mA,43,2.309256903272621
258,RLI8-1,0mA,44,3.057887001501018
259,RLI8-2,0mA,44,2.2241572753163097
260,RLI8-4,0mA,44,2.029670625631917
261,RLI8-5,0mA,44,2.616681299389775
262,RLI8-7,0mA,44,3.167359066354283
263,RLI8-8,0mA,44,2.3103989490804833
264,RLI8-1,0mA,45,2.8604179749795318
265,RLI8-2,0mA,45,2.5730971142645616
266,RLI8-4,0mA,45,0.6395746562441313
267,RLI8-5,0mA,45,2.4415754419085576
268,RLI8-7,0mA,45,3.301491959917656
269,RLI8-8,0mA,45,1.7340965064243272
270,RLI8-1,0mA,46,2.0308034797375845
271,RLI8-2,0mA,46,1.6326359834078878
272,RLI8-4,0mA,46,0.8787340525739473
273,RLI8-5,0mA,46,2.2030370013185365
274,RLI8-7,0mA,46,2.917317657588157
275,RLI8-8,0mA,46,1.9719341791303964
276,RLI8-1,0mA,47,1.7525084943017588
277,RLI8-2,0mA,47,2.486309447214892
278,RLI8-4,0mA,47,0.9005925291661829
279,RLI8-5,0mA,47,1.746095429128651
280,RLI8-7,0mA,47,2.7039551964967066
281,RLI8-8,0mA,47,1.9776196049392154
282,RLI8-1,0mA,48,2.853032923521544
283,RLI8-2,0mA,48,2.6167947061383776
284,RLI8-4,0mA,48,0.656324554847574
285,RLI8-5,0mA,48,2.1732061505427085
286,RLI8-7,0mA,48,3.3118294837851883
287,RLI8-8,0mA,48,2.7163976602670847
288,RLI8-1,0mA,49,3.044263571865512
289,RLI8-2,0mA,49,2.6349783880314583
290,RLI8-4,0mA,49,0.83722544895805
291,RLI8-5,0mA,49,2.472002983151458
292,RLI8-7,0mA,49,1.5986710687106367
293,RLI8-8,0mA,49,1.1077161160493578
294,RLI8-1,0mA,50,3.270329679670111
295,RLI8-2,0mA,50,2.2979771274846184
296,RLI8-4,0mA,50,1.6234496848021602
297,RLI8-5,0mA,50,2.530209279124249
298,RLI8-7,0mA,50,1.2753222679966156
299,RLI8-8,0mA,50,0.9990940702895174
300,RLI8-1,0mA,51,3.0247058088829406
301,RLI8-2,0mA,51,2.1670017414084954
302,RLI8-4,0mA,51,2.3313080738170795
303,RLI8-5,0mA,51,2.756236451970715
304,RLI8-7,0mA,51,2.6797041953154834
305,RLI8-8,0mA,51,1.5494198729388642
306,RLI8-1,0mA,52,2.3383953547878624
307,RLI8-2,0mA,52,1.7514628390881146
308,RLI8-4,0mA,52,2.557746083477581
309,RLI8-5,0mA,52,2.6661778876713087
310,RLI8-7,0mA,52,3.0302139152325456
311,RLI8-8,0mA,52,0.6505226215443333
312,RLI8-1,0mA,53,2.0310079176177633
313,RLI8-2,0mA,53,1.6199127368127122
314,RLI8-4,0mA,53,2.4598198008095573
315,RLI8-5,0mA,53,2.651074984426047
316,RLI8-7,0mA,53,3.130489370455412
317,RLI8-8,0mA,53,0.7663708326036618
318,RLI8-1,0mA,54,2.416988119273557
319,RLI8-2,0mA,54,1.9757065463161643
320,RLI8-4,0mA,54,2.8724707337906037
321,RLI8-5,0mA,54,2.1890934137673828
322,RLI8-7,0mA,54,2.984545436224811
323,RLI8-8,0mA,54,0.8292351609624513
324,RLI8-1,0mA,55,3.428382839322178
325,RLI8-2,0mA,55,2.367139682575838
326,RLI8-4,0mA,55,2.265871228202429
327,RLI8-5,0mA,55,2.0306697525441244
328,RLI8-7,0mA,55,2.9676439362886717
329,RLI8-8,0mA,55,0.9064442548299988
330,RLI8-1,0mA,56,2.9713644221674795
331,RLI8-2,0mA,56,0.5670133822808405
332,RLI8-4,0mA,56,2.099241308861757
333,RLI8-5,0mA,56,2.506825699794964
334,RLI8-7,0mA,56,2.182890697586336
335,RLI8-8,0mA,56,1.6180105647854446
336,RLI8-1,0mA,57,3.1988283710298218
337,RLI8-2,0mA,57,0.9578635154413184
338,RLI8-4,0mA,57,2.5244706682477167
339,RLI8-5,0mA,57,1.2821052328305618
340,RLI8-7,0mA,57,3.0882027710082895
341,RLI8-8,0mA,57,2.322582603212491
342,RLI8-1,0mA,58,2.8998035808967235
343,RLI8-2,0mA,58,1.2657278052654573
344,RLI8-4,0mA,58,2.5012694138580676
345,RLI8-5,0mA,58,2.5958419430688577
346,RLI8-7,0mA,58,3.4108570380996976
347,RLI8-8,0mA,58,1.34101389500376
348,RLI8-1,0mA,59,2.514274856359305
349,RLI8-2,0mA,59,1.2547410628742284
350,RLI8-4,0mA,59,2.2729866943522796
351,RLI8-5,0mA,59,1.9887841030030757
352,RLI8-7,0mA,59,2.715738660427147
353,RLI8-8,0mA,59,1.5091938201503179
354,RLI8-1,0mA,60,2.4856176778317565
355,RLI8-2,0mA,60,2.369861554341939
356,RLI8-4,0mA,60,3.092848720435781
357,RLI8-5,0mA,60,2.619668553984396
358,RLI8-7,0mA,60,2.7002544893435987
359,RLI8-8,0mA,60,2.0209597520155107
