,Mouse,Amplitude,Context,Freezing
0,RLI8-1,0mA,Neutral,5.811756861873541
1,RLI8-2,0mA,Neutral,9.201022335815091
2,RLI8-4,0mA,Novel,22.78537290207847
3,RLI8-5,0mA,Neutral,34.20028898521729
4,RLI8-7,0mA,Novel,8.413915749694343
5,RLI8-8,0mA,Novel,14.579397710856762
0,RLI8-1,0mA,Novel,12.593086584417028
1,RLI8-2,0mA,Novel,12.09291986217628
2,RLI8-4,0mA,Neutral,33.48894075803045
3,RLI8-5,0mA,Novel,26.26431032566411
4,RLI8-7,0mA,Neutral,17.75036123152162
5,RLI8-8,0mA,Neutral,24.174724908302768
