,Mouse,Amplitude,Day,TimeBin,SleepState,StateLength
sws,Ca_EEG_Pilot2,1.5mA,PostNeutral,0.0,nrem,144.0
wake,Ca_EEG_Pilot2,1.5mA,PostNeutral,0.0,wake,116.72727272727272
wake,Ca_EEG2-1,1.5mA,PostAversive,0.0,wake,58.5
sws,Ca_EEG2-1,1.5mA,PostAversive,0.0,nrem,41.69230769230769
rem,Ca_EEG2-1,1.5mA,PostAversive,0.0,rem,12.75
sws,Ca_EEG3-3,0.25mA,PreNeutral,0.0,nrem,78.78947368421052
wake,Ca_EEG2-3,1.5mA,PostNeutral,0.0,wake,27.34426229508197
rem,Ca_EEG3-3,0.25mA,PreNeutral,0.0,rem,19.42857142857143
wake,Ca_EEG2-2,1.5mA,PostAversive,0.0,wake,62.18181818181818
wake,Ca_EEG2-1,1.5mA,PostNeutral,0.0,wake,180.0
sws,Ca_EEG2-1,1.5mA,PostNeutral,0.0,nrem,54.46153846153846
sws,Ca_EEG3-3,0.25mA,PostNeutral,1.0,nrem,54.95454545454545
wake,Ca_EEG3-3,0.25mA,PostNeutral,1.0,wake,25.5
sws,Ca_EEG3-1,0.25mA,PostAversive,1.0,nrem,32.61290322580645
wake,Ca_EEG3-1,0.25mA,PostAversive,1.0,wake,26.808510638297868
wake,Ca_EEG3-3,0.25mA,PreNeutral,1.0,wake,37.411764705882355
rem,Ca_EEG_Pilot2,1.5mA,PreNeutral,1.0,rem,10.411764705882353
sws,Ca_EEG_Pilot2,1.5mA,PreNeutral,1.0,nrem,74.57142857142857
wake,Ca_EEG_Pilot2,1.5mA,PreNeutral,1.0,wake,14.25
sws,Ca_EEG3-3,0.25mA,PreNeutral,1.0,nrem,68.15384615384616
wake,Ca_EEG_Pilot2,1.5mA,PostAversive,1.0,wake,79.5
sws,Ca_EEG_Pilot2,1.5mA,PostAversive,1.0,nrem,91.04347826086956
wake,Ca_EEG_Pilot1,1.5mA,PostAversive,1.0,wake,8.756756756756756
sws,Ca_EEG_Pilot1,1.5mA,PostAversive,1.0,nrem,56.82352941176471
rem,Ca_EEG_Pilot1,1.5mA,PostAversive,1.0,rem,16.434782608695652
sws,Ca_EEG2-1,1.5mA,PostNeutral,1.0,nrem,64.375
wake,Ca_EEG3-3,0.25mA,PostAversive,1.0,wake,40.10526315789474
sws,Ca_EEG3-3,0.25mA,PostAversive,1.0,nrem,74.82352941176471
wake,Ca_EEG3-4,0.25mA,PostAversive,1.0,wake,16.212765957446805
rem,Ca_EEG2-1,1.5mA,PreNeutral,1.0,rem,9.230769230769232
rem,Ca_EEG3-3,0.25mA,PostNeutral,1.0,rem,22.875
wake,Ca_EEG3-2,0.25mA,PostNeutral,1.0,wake,8.538461538461538
rem,Ca_EEG_Pilot2,1.5mA,PostNeutral,1.0,rem,15.545454545454545
rem,Ca_EEG2-2,1.5mA,PostAversive,1.0,rem,22.714285714285715
sws,Ca_EEG2-2,1.5mA,PostAversive,1.0,nrem,81.4
wake,Ca_EEG2-2,1.5mA,PostAversive,1.0,wake,49.41176470588235
wake,Ca_EEG3-2,0.25mA,PostAversive,1.0,wake,12.299999999999999
rem,Ca_EEG3-1,0.25mA,PostAversive,1.0,rem,21.2
rem,Ca_EEG3-2,0.25mA,PostNeutral,1.0,rem,20.454545454545453
rem,Ca_EEG3-4,0.25mA,PostAversive,1.0,rem,11.30232558139535
sws,Ca_EEG3-4,0.25mA,PostAversive,1.0,nrem,28.337349397590362
sws,Ca_EEG3-2,0.25mA,PostAversive,1.0,nrem,80.5
rem,Ca_EEG3-2,0.25mA,PostAversive,1.0,rem,24.0
sws,Ca_EEG3-2,0.25mA,PostNeutral,1.0,nrem,63.65217391304347
rem,Ca_EEG2-1,1.5mA,PostAversive,1.0,rem,8.25
sws,Ca_EEG2-1,1.5mA,PostAversive,1.0,nrem,40.0
wake,Ca_EEG2-1,1.5mA,PostAversive,1.0,wake,115.125
wake,Ca_EEG_Pilot2,1.5mA,PostNeutral,1.0,wake,14.727272727272727
rem,Ca_EEG3-1,0.25mA,PreNeutral,1.0,rem,8.285714285714285
sws,Ca_EEG3-1,0.25mA,PreNeutral,1.0,nrem,38.225806451612904
wake,Ca_EEG3-1,0.25mA,PreNeutral,1.0,wake,22.956521739130437
sws,Ca_EEG_Pilot2,1.5mA,PostNeutral,1.0,nrem,91.05882352941177
rem,Ca_EEG_Pilot2,1.5mA,PostAversive,1.0,rem,19.5
rem,Ca_EEG3-3,0.25mA,PostAversive,1.0,rem,15.473684210526315
rem,Ca_EEG2-2,1.5mA,PreNeutral,1.0,rem,31.0
rem,Ca_EEG3-3,0.25mA,PreNeutral,1.0,rem,12.75
sws,Ca_EEG3-4,0.25mA,PostNeutral,1.0,nrem,20.8
wake,Ca_EEG2-1,1.5mA,PostNeutral,1.0,wake,11.2
wake,Ca_EEG2-3,1.5mA,PostNeutral,1.0,wake,30.923076923076927
rem,Ca_EEG3-4,0.25mA,PostNeutral,1.0,rem,10.923076923076923
wake,Ca_EEG2-2,1.5mA,PostNeutral,1.0,wake,10.285714285714285
sws,Ca_EEG2-2,1.5mA,PostNeutral,1.0,nrem,82.33333333333333
rem,Ca_EEG2-2,1.5mA,PostNeutral,1.0,rem,28.0
sws,Ca_EEG2-3,1.5mA,PostNeutral,1.0,nrem,40.94117647058823
sws,Ca_EEG2-1,1.5mA,PreNeutral,1.0,nrem,32.14285714285714
rem,Ca_EEG3-4,0.25mA,PreNeutral,1.0,rem,10.588235294117647
sws,Ca_EEG3-4,0.25mA,PreNeutral,1.0,nrem,25.515789473684208
wake,Ca_EEG3-4,0.25mA,PreNeutral,1.0,wake,15.2
wake,Ca_EEG2-3,1.5mA,PostAversive,1.0,wake,85.80000000000001
rem,Ca_EEG2-3,1.5mA,PostNeutral,1.0,rem,18.0
rem,Ca_EEG2-1,1.5mA,PostNeutral,1.0,rem,10.363636363636363
wake,Ca_EEG3-4,0.25mA,PostNeutral,1.0,wake,36.68181818181818
sws,Ca_EEG2-3,1.5mA,PostAversive,1.0,nrem,64.84615384615385
rem,Ca_EEG2-3,1.5mA,PostAversive,1.0,rem,24.75
rem,Ca_EEG3-2,0.25mA,PreNeutral,1.0,rem,17.65714285714286
wake,Ca_EEG2-1,1.5mA,PreNeutral,1.0,wake,151.76470588235293
wake,Ca_EEG2-3,1.5mA,PreNeutral,1.0,wake,54.5
wake,Ca_EEG3-1,0.25mA,PostNeutral,1.0,wake,12.666666666666668
wake,Ca_EEG2-2,1.5mA,PreNeutral,1.0,wake,23.272727272727273
sws,Ca_EEG3-1,0.25mA,PostNeutral,1.0,nrem,34.480000000000004
