,Mouse,Amplitude,Day,Previous,Next,Transition,Probability
0,Ca_EEG2-1,1.5mA,PreNeutral,nrem,nrem,nrem to nrem,0.8611534940494354
1,Ca_EEG2-1,1.5mA,PreNeutral,nrem,rem,nrem to rem,0.07232224595666768
2,Ca_EEG2-1,1.5mA,PreNeutral,nrem,wake,nrem to wake,0.06652425999389686
3,Ca_EEG2-1,1.5mA,PreNeutral,rem,nrem,rem to nrem,0.6147308781869688
4,Ca_EEG2-1,1.5mA,PreNeutral,rem,rem,rem to rem,0.3286118980169972
5,Ca_EEG2-1,1.5mA,PreNeutral,rem,wake,rem to wake,0.056657223796033995
6,Ca_EEG2-1,1.5mA,PreNeutral,wake,nrem,wake to nrem,0.02200761444888105
7,Ca_EEG2-1,1.5mA,PreNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG2-1,1.5mA,PreNeutral,wake,wake,wake to wake,0.977992385551119
0,Ca_EEG2-1,1.5mA,PostNeutral,nrem,nrem,nrem to nrem,0.8505311077389985
1,Ca_EEG2-1,1.5mA,PostNeutral,nrem,rem,nrem to rem,0.10015174506828528
2,Ca_EEG2-1,1.5mA,PostNeutral,nrem,wake,nrem to wake,0.04931714719271624
3,Ca_EEG2-1,1.5mA,PostNeutral,rem,nrem,rem to nrem,0.5727554179566563
4,Ca_EEG2-1,1.5mA,PostNeutral,rem,rem,rem to rem,0.38699690402476783
5,Ca_EEG2-1,1.5mA,PostNeutral,rem,wake,rem to wake,0.04024767801857585
6,Ca_EEG2-1,1.5mA,PostNeutral,wake,nrem,wake to nrem,0.02304003336113428
7,Ca_EEG2-1,1.5mA,PostNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG2-1,1.5mA,PostNeutral,wake,wake,wake to wake,0.9769599666388658
0,Ca_EEG2-1,1.5mA,PostAversive,nrem,nrem,nrem to nrem,0.8604921526835885
1,Ca_EEG2-1,1.5mA,PostAversive,nrem,rem,nrem to rem,0.08544855648130208
2,Ca_EEG2-1,1.5mA,PostAversive,nrem,wake,nrem to wake,0.05405929083510948
3,Ca_EEG2-1,1.5mA,PostAversive,rem,nrem,rem to nrem,0.5649717514124294
4,Ca_EEG2-1,1.5mA,PostAversive,rem,rem,rem to rem,0.3771186440677966
5,Ca_EEG2-1,1.5mA,PostAversive,rem,wake,rem to wake,0.05790960451977401
6,Ca_EEG2-1,1.5mA,PostAversive,wake,nrem,wake to nrem,0.03765395894428152
7,Ca_EEG2-1,1.5mA,PostAversive,wake,rem,wake to rem,0.0
8,Ca_EEG2-1,1.5mA,PostAversive,wake,wake,wake to wake,0.9623460410557185
0,Ca_EEG2-2,1.5mA,PreNeutral,nrem,nrem,nrem to nrem,0.9235395189003437
1,Ca_EEG2-2,1.5mA,PreNeutral,nrem,rem,nrem to rem,0.03293241695303551
2,Ca_EEG2-2,1.5mA,PreNeutral,nrem,wake,nrem to wake,0.043528064146620846
3,Ca_EEG2-2,1.5mA,PreNeutral,rem,nrem,rem to nrem,0.23924050632911392
4,Ca_EEG2-2,1.5mA,PreNeutral,rem,rem,rem to rem,0.7088607594936709
5,Ca_EEG2-2,1.5mA,PreNeutral,rem,wake,rem to wake,0.05189873417721519
6,Ca_EEG2-2,1.5mA,PreNeutral,wake,nrem,wake to nrem,0.05404556166535742
7,Ca_EEG2-2,1.5mA,PreNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG2-2,1.5mA,PreNeutral,wake,wake,wake to wake,0.9459544383346425
0,Ca_EEG2-2,1.5mA,PostNeutral,nrem,nrem,nrem to nrem,0.9296509295171861
1,Ca_EEG2-2,1.5mA,PostNeutral,nrem,rem,nrem to rem,0.03009228300120369
2,Ca_EEG2-2,1.5mA,PostNeutral,nrem,wake,nrem to wake,0.040256787481610275
3,Ca_EEG2-2,1.5mA,PostNeutral,rem,nrem,rem to nrem,0.25771812080536916
4,Ca_EEG2-2,1.5mA,PostNeutral,rem,rem,rem to rem,0.697986577181208
5,Ca_EEG2-2,1.5mA,PostNeutral,rem,wake,rem to wake,0.04429530201342282
6,Ca_EEG2-2,1.5mA,PostNeutral,wake,nrem,wake to nrem,0.05423344665695321
7,Ca_EEG2-2,1.5mA,PostNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG2-2,1.5mA,PostNeutral,wake,wake,wake to wake,0.9457665533430468
0,Ca_EEG2-2,1.5mA,PostAversive,nrem,nrem,nrem to nrem,0.9187314172447968
1,Ca_EEG2-2,1.5mA,PostAversive,nrem,rem,nrem to rem,0.032829534192269576
2,Ca_EEG2-2,1.5mA,PostAversive,nrem,wake,nrem to wake,0.0484390485629336
3,Ca_EEG2-2,1.5mA,PostAversive,rem,nrem,rem to nrem,0.2669683257918552
4,Ca_EEG2-2,1.5mA,PostAversive,rem,rem,rem to rem,0.7002262443438914
5,Ca_EEG2-2,1.5mA,PostAversive,rem,wake,rem to wake,0.032805429864253395
6,Ca_EEG2-2,1.5mA,PostAversive,wake,nrem,wake to nrem,0.07876969242310577
7,Ca_EEG2-2,1.5mA,PostAversive,wake,rem,wake to rem,0.0
8,Ca_EEG2-2,1.5mA,PostAversive,wake,wake,wake to wake,0.9212303075768942
0,Ca_EEG2-3,1.5mA,PreNeutral,nrem,nrem,nrem to nrem,0.8785090455396132
1,Ca_EEG2-3,1.5mA,PreNeutral,nrem,rem,nrem to rem,0.04070492825951341
2,Ca_EEG2-3,1.5mA,PreNeutral,nrem,wake,nrem to wake,0.08078602620087336
3,Ca_EEG2-3,1.5mA,PreNeutral,rem,nrem,rem to nrem,0.27770360480640854
4,Ca_EEG2-3,1.5mA,PreNeutral,rem,rem,rem to rem,0.6515353805073432
5,Ca_EEG2-3,1.5mA,PreNeutral,rem,wake,rem to wake,0.07076101468624833
6,Ca_EEG2-3,1.5mA,PreNeutral,wake,nrem,wake to nrem,0.08165019338203695
7,Ca_EEG2-3,1.5mA,PreNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG2-3,1.5mA,PreNeutral,wake,wake,wake to wake,0.9183498066179631
0,Ca_EEG2-3,1.5mA,PostNeutral,nrem,nrem,nrem to nrem,0.8724480893386843
1,Ca_EEG2-3,1.5mA,PostNeutral,nrem,rem,nrem to rem,0.03838771593090211
2,Ca_EEG2-3,1.5mA,PostNeutral,nrem,wake,nrem to wake,0.08916419473041354
3,Ca_EEG2-3,1.5mA,PostNeutral,rem,nrem,rem to nrem,0.26625386996904027
4,Ca_EEG2-3,1.5mA,PostNeutral,rem,rem,rem to rem,0.6609907120743034
5,Ca_EEG2-3,1.5mA,PostNeutral,rem,wake,rem to wake,0.07275541795665634
6,Ca_EEG2-3,1.5mA,PostNeutral,wake,nrem,wake to nrem,0.06968337073049115
7,Ca_EEG2-3,1.5mA,PostNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG2-3,1.5mA,PostNeutral,wake,wake,wake to wake,0.9303166292695089
0,Ca_EEG2-3,1.5mA,PostAversive,nrem,nrem,nrem to nrem,0.886329418849744
1,Ca_EEG2-3,1.5mA,PostAversive,nrem,rem,nrem to rem,0.04305931948208371
2,Ca_EEG2-3,1.5mA,PostAversive,nrem,wake,nrem to wake,0.07061126166817223
3,Ca_EEG2-3,1.5mA,PostAversive,rem,nrem,rem to nrem,0.2851758793969849
4,Ca_EEG2-3,1.5mA,PostAversive,rem,rem,rem to rem,0.6407035175879398
5,Ca_EEG2-3,1.5mA,PostAversive,rem,wake,rem to wake,0.07412060301507538
6,Ca_EEG2-3,1.5mA,PostAversive,wake,nrem,wake to nrem,0.07733918128654971
7,Ca_EEG2-3,1.5mA,PostAversive,wake,rem,wake to rem,0.0
8,Ca_EEG2-3,1.5mA,PostAversive,wake,wake,wake to wake,0.9226608187134503
0,Ca_EEG3-1,0.25mA,PreNeutral,nrem,nrem,nrem to nrem,0.8211563487637107
