,Mouse,Drug,Motion
0,1,Saline,100.135
1,2,Cocaine,236.69299999999998
2,3,Saline,114.103
3,4,Cocaine,237.212
4,5,Saline,133.69
5,6,Cocaine,316.931
6,7,Saline,111.31199999999998
7,8,Cocaine,246.032
8,9,Cocaine,264.935
9,10,Saline,199.674
10,11,Cocaine,263.075
11,12,Saline,223.169
12,13,Cocaine,315.20500000000004
13,14,Saline,148.352
14,15,Cocaine,226.12800000000001
15,16,Saline,173.364
16,17,Cocaine,372.416
17,18,Saline,141.897
18,19,Cocaine,225.72600000000003
19,20,Saline,201.998
