,Mouse,Drug,Motion
0,1,Saline,187.443
1,2,Cocaine,192.092
6,7,Cocaine,302.367
7,8,Saline,166.193
8,9,Saline,245.882
9,10,Cocaine,315.906
14,15,Cocaine,301.796
15,16,Saline,104.955
16,17,Saline,142.06
17,18,Cocaine,341.65
22,23,Cocaine,230.548
23,24,Saline,125.33399999999999
24,25,Saline,201.20499999999998
25,26,Cocaine,390.12
30,31,Cocaine,296.658
31,32,Saline,209.20100000000002
32,33,Saline,153.301
33,34,Cocaine,326.838
38,39,Cocaine,226.48600000000002
39,40,Saline,205.40300000000002
