,Mouse,Drug,Motion
6,7,Cocaine,206.961
7,8,Saline,170.519
8,9,Saline,140.877
9,10,Cocaine,227.237
14,15,Cocaine,135.079
15,16,Saline,76.857
16,17,Saline,108.3
17,18,Cocaine,207.25499999999997
22,23,Cocaine,131.969
23,24,Saline,111.70900000000002
24,25,Saline,228.29299999999998
25,26,Cocaine,250.04000000000002
30,31,Cocaine,181.573
31,32,Saline,167.33800000000002
32,33,Saline,87.077
33,34,Cocaine,200.401
38,39,Cocaine,171.887
39,40,Saline,143.526
