,Mouse,Drug,Motion
0,1,Saline,136.189
1,2,Cocaine,260.056
2,3,Saline,184.15
3,4,Cocaine,227.913
4,5,Saline,116.441
5,6,Cocaine,293.895
6,7,Saline,194.81
7,8,Cocaine,248.045
8,9,Cocaine,167.29000000000002
9,10,Saline,272.666
10,11,Cocaine,258.536
11,12,Saline,234.277
12,13,Cocaine,187.09099999999998
13,14,Saline,264.54200000000003
14,15,Cocaine,229.365
15,16,Saline,229.84
16,17,Cocaine,241.773
17,18,Saline,225.43099999999998
18,19,Cocaine,232.76
19,20,Saline,212.942
