,Mouse,Amplitude,Ensemble,Bin,EventFrequency
8,RLI6-2,1.5mA,Overlap,2700,3.7777777777777777
9,RLI6-2,1.5mA,Overlap,3000,3.9
10,RLI6-2,1.5mA,Overlap,3300,3.644444444444445
11,RLI6-2,1.5mA,Overlap,3600,3.5444444444444443
0,RLI6-2,1.5mA,Neutral Only,300,6.855555555555555
1,RLI6-2,1.5mA,Neutral Only,600,6.944444444444445
2,RLI6-2,1.5mA,Neutral Only,900,4.533333333333333
3,RLI6-2,1.5mA,Neutral Only,1200,3.7555555555555555
4,RLI6-2,1.5mA,Neutral Only,1500,4.022222222222222
5,RLI6-2,1.5mA,Neutral Only,1800,4.688888888888889
6,RLI6-2,1.5mA,Neutral Only,2100,3.922222222222222
7,RLI6-2,1.5mA,Neutral Only,2400,2.977777777777778
8,RLI6-2,1.5mA,Neutral Only,2700,4.388888888888888
9,RLI6-2,1.5mA,Neutral Only,3000,4.155555555555555
10,RLI6-2,1.5mA,Neutral Only,3300,2.966666666666667
11,RLI6-2,1.5mA,Neutral Only,3600,2.7444444444444445
0,RLI6-2,1.5mA,Remaining,300,5.522222222222222
1,RLI6-2,1.5mA,Remaining,600,6.222222222222222
2,RLI6-2,1.5mA,Remaining,900,3.0666666666666664
3,RLI6-2,1.5mA,Remaining,1200,3.2222222222222223
4,RLI6-2,1.5mA,Remaining,1500,2.7
5,RLI6-2,1.5mA,Remaining,1800,4.366666666666666
6,RLI6-2,1.5mA,Remaining,2100,2.488888888888889
7,RLI6-2,1.5mA,Remaining,2400,2.022222222222222
8,RLI6-2,1.5mA,Remaining,2700,1.6222222222222222
9,RLI6-2,1.5mA,Remaining,3000,3.155555555555556
10,RLI6-2,1.5mA,Remaining,3300,1.288888888888889
11,RLI6-2,1.5mA,Remaining,3600,2.888888888888889
0,RLI6-4,1.5mA,Aversive Only,300,5.477777777777778
1,RLI6-4,1.5mA,Aversive Only,600,7.611111111111112
2,RLI6-4,1.5mA,Aversive Only,900,6.388888888888888
3,RLI6-4,1.5mA,Aversive Only,1200,4.311111111111112
4,RLI6-4,1.5mA,Aversive Only,1500,4.2444444444444445
5,RLI6-4,1.5mA,Aversive Only,1800,5.055555555555555
6,RLI6-4,1.5mA,Aversive Only,2100,3.711111111111111
7,RLI6-4,1.5mA,Aversive Only,2400,3.822222222222222
8,RLI6-4,1.5mA,Aversive Only,2700,4.2444444444444445
9,RLI6-4,1.5mA,Aversive Only,3000,3.2333333333333334
10,RLI6-4,1.5mA,Aversive Only,3300,3.5000000000000004
11,RLI6-4,1.5mA,Aversive Only,3600,4.822222222222222
0,RLI6-4,1.5mA,Overlap,300,5.5888888888888895
1,RLI6-4,1.5mA,Overlap,600,6.866666666666667
2,RLI6-4,1.5mA,Overlap,900,7.6
3,RLI6-4,1.5mA,Overlap,1200,6.1
4,RLI6-4,1.5mA,Overlap,1500,4.888888888888889
5,RLI6-4,1.5mA,Overlap,1800,5.644444444444444
6,RLI6-4,1.5mA,Overlap,2100,3.6222222222222227
7,RLI6-4,1.5mA,Overlap,2400,4.122222222222223
8,RLI6-4,1.5mA,Overlap,2700,4.2555555555555555
9,RLI6-4,1.5mA,Overlap,3000,3.4444444444444446
10,RLI6-4,1.5mA,Overlap,3300,5.455555555555556
11,RLI6-4,1.5mA,Overlap,3600,5.333333333333334
0,RLI6-4,1.5mA,Neutral Only,300,7.166666666666667
1,RLI6-4,1.5mA,Neutral Only,600,8.61111111111111
2,RLI6-4,1.5mA,Neutral Only,900,7.8
3,RLI6-4,1.5mA,Neutral Only,1200,6.9111111111111105
4,RLI6-4,1.5mA,Neutral Only,1500,3.077777777777778
5,RLI6-4,1.5mA,Neutral Only,1800,4.2444444444444445
6,RLI6-4,1.5mA,Neutral Only,2100,4.9222222222222225
7,RLI6-4,1.5mA,Neutral Only,2400,3.4777777777777774
8,RLI6-4,1.5mA,Neutral Only,2700,3.2222222222222223
9,RLI6-4,1.5mA,Neutral Only,3000,3.0444444444444443
10,RLI6-4,1.5mA,Neutral Only,3300,3.888888888888889
11,RLI6-4,1.5mA,Neutral Only,3600,3.6111111111111107
0,RLI6-4,1.5mA,Remaining,300,5.122222222222223
1,RLI6-4,1.5mA,Remaining,600,7.7444444444444445
2,RLI6-4,1.5mA,Remaining,900,7.133333333333333
3,RLI6-4,1.5mA,Remaining,1200,4.544444444444444
4,RLI6-4,1.5mA,Remaining,1500,3.355555555555555
5,RLI6-4,1.5mA,Remaining,1800,2.788888888888889
6,RLI6-4,1.5mA,Remaining,2100,2.433333333333333
7,RLI6-4,1.5mA,Remaining,2400,2.322222222222222
8,RLI6-4,1.5mA,Remaining,2700,2.511111111111111
9,RLI6-4,1.5mA,Remaining,3000,2.433333333333333
10,RLI6-4,1.5mA,Remaining,3300,5.355555555555556
11,RLI6-4,1.5mA,Remaining,3600,6.566666666666666
0,RLI6-6,1.5mA,Aversive Only,300,4.777777777777778
1,RLI6-6,1.5mA,Aversive Only,600,5.611111111111111
2,RLI6-6,1.5mA,Aversive Only,900,4.711111111111111
3,RLI6-6,1.5mA,Aversive Only,1200,6.788888888888889
4,RLI6-6,1.5mA,Aversive Only,1500,5.7555555555555555
5,RLI6-6,1.5mA,Aversive Only,1800,3.344444444444444
6,RLI6-6,1.5mA,Aversive Only,2100,6.144444444444445
7,RLI6-6,1.5mA,Aversive Only,2400,4.444444444444445
8,RLI6-6,1.5mA,Aversive Only,2700,5.888888888888888
9,RLI6-6,1.5mA,Aversive Only,3000,3.888888888888889
10,RLI6-6,1.5mA,Aversive Only,3300,5.088888888888889
11,RLI6-6,1.5mA,Aversive Only,3600,4.855555555555555
0,RLI6-6,1.5mA,Overlap,300,7.455555555555556
1,RLI6-6,1.5mA,Overlap,600,7.166666666666667
2,RLI6-6,1.5mA,Overlap,900,6.688888888888888
3,RLI6-6,1.5mA,Overlap,1200,5.577777777777778
4,RLI6-6,1.5mA,Overlap,1500,6.2
5,RLI6-6,1.5mA,Overlap,1800,3.9555555555555553
6,RLI6-6,1.5mA,Overlap,2100,5.088888888888889
7,RLI6-6,1.5mA,Overlap,2400,5.044444444444444
8,RLI6-6,1.5mA,Overlap,2700,2.811111111111111
9,RLI6-6,1.5mA,Overlap,3000,3.922222222222222
10,RLI6-6,1.5mA,Overlap,3300,4.222222222222222
11,RLI6-6,1.5mA,Overlap,3600,2.8000000000000003
0,RLI6-6,1.5mA,Neutral Only,300,7.811111111111112
1,RLI6-6,1.5mA,Neutral Only,600,7.0777777777777775
2,RLI6-6,1.5mA,Neutral Only,900,5.911111111111111
3,RLI6-6,1.5mA,Neutral Only,1200,6.344444444444444
4,RLI6-6,1.5mA,Neutral Only,1500,5.622222222222222
5,RLI6-6,1.5mA,Neutral Only,1800,3.7888888888888888
6,RLI6-6,1.5mA,Neutral Only,2100,4.3999999999999995
7,RLI6-6,1.5mA,Neutral Only,2400,4.366666666666666
8,RLI6-6,1.5mA,Neutral Only,2700,3.4555555555555553
9,RLI6-6,1.5mA,Neutral Only,3000,4.055555555555555
10,RLI6-6,1.5mA,Neutral Only,3300,3.3888888888888893
11,RLI6-6,1.5mA,Neutral Only,3600,3.144444444444444
0,RLI6-6,1.5mA,Remaining,300,6.377777777777778
1,RLI6-6,1.5mA,Remaining,600,8.977777777777778
2,RLI6-6,1.5mA,Remaining,900,6.0
3,RLI6-6,1.5mA,Remaining,1200,5.7444444444444445
4,RLI6-6,1.5mA,Remaining,1500,4.722222222222222
5,RLI6-6,1.5mA,Remaining,1800,4.188888888888889
6,RLI6-6,1.5mA,Remaining,2100,5.311111111111111
7,RLI6-6,1.5mA,Remaining,2400,4.144444444444444
8,RLI6-6,1.5mA,Remaining,2700,3.1
9,RLI6-6,1.5mA,Remaining,3000,3.2444444444444445
10,RLI6-6,1.5mA,Remaining,3300,3.1222222222222222
11,RLI6-6,1.5mA,Remaining,3600,3.0444444444444443
0,RLI6-10,0.25mA,Aversive Only,300,4.122222222222223
1,RLI6-10,0.25mA,Aversive Only,600,4.844444444444444
2,RLI6-10,0.25mA,Aversive Only,900,4.055555555555555
3,RLI6-10,0.25mA,Aversive Only,1200,3.5000000000000004
4,RLI6-10,0.25mA,Aversive Only,1500,3.4888888888888885
5,RLI6-10,0.25mA,Aversive Only,1800,4.166666666666666
6,RLI6-10,0.25mA,Aversive Only,2100,3.111111111111111
7,RLI6-10,0.25mA,Aversive Only,2400,3.033333333333333
8,RLI6-10,0.25mA,Aversive Only,2700,3.9
9,RLI6-10,0.25mA,Aversive Only,3000,3.6888888888888887
10,RLI6-10,0.25mA,Aversive Only,3300,3.6111111111111107
11,RLI6-10,0.25mA,Aversive Only,3600,4.7
0,RLI6-10,0.25mA,Overlap,300,6.044444444444444
1,RLI6-10,0.25mA,Overlap,600,6.211111111111111
2,RLI6-10,0.25mA,Overlap,900,5.066666666666666
3,RLI6-10,0.25mA,Overlap,1200,5.544444444444444
4,RLI6-10,0.25mA,Overlap,1500,4.644444444444444
5,RLI6-10,0.25mA,Overlap,1800,4.855555555555555
6,RLI6-10,0.25mA,Overlap,2100,4.477777777777778
7,RLI6-10,0.25mA,Overlap,2400,3.4444444444444446
8,RLI6-10,0.25mA,Overlap,2700,4.322222222222223
9,RLI6-10,0.25mA,Overlap,3000,4.544444444444444
10,RLI6-10,0.25mA,Overlap,3300,4.288888888888889
11,RLI6-10,0.25mA,Overlap,3600,3.3666666666666663
0,RLI6-10,0.25mA,Neutral Only,300,3.4777777777777774
1,RLI6-10,0.25mA,Neutral Only,600,6.033333333333333
2,RLI6-10,0.25mA,Neutral Only,900,4.7
3,RLI6-10,0.25mA,Neutral Only,1200,3.7666666666666666
4,RLI6-10,0.25mA,Neutral Only,1500,4.3999999999999995
5,RLI6-10,0.25mA,Neutral Only,1800,3.011111111111111
6,RLI6-10,0.25mA,Neutral Only,2100,3.011111111111111
7,RLI6-10,0.25mA,Neutral Only,2400,2.922222222222222
8,RLI6-10,0.25mA,Neutral Only,2700,2.611111111111111
9,RLI6-10,0.25mA,Neutral Only,3000,3.6111111111111107
10,RLI6-10,0.25mA,Neutral Only,3300,2.411111111111111
11,RLI6-10,0.25mA,Neutral Only,3600,3.3222222222222224
0,RLI6-10,0.25mA,Remaining,300,2.8444444444444446
1,RLI6-10,0.25mA,Remaining,600,3.9
2,RLI6-10,0.25mA,Remaining,900,2.4444444444444446
3,RLI6-10,0.25mA,Remaining,1200,2.2444444444444445
4,RLI6-10,0.25mA,Remaining,1500,1.9444444444444444
5,RLI6-10,0.25mA,Remaining,1800,2.0777777777777775
6,RLI6-10,0.25mA,Remaining,2100,2.533333333333333
7,RLI6-10,0.25mA,Remaining,2400,2.3333333333333335
8,RLI6-10,0.25mA,Remaining,2700,1.8777777777777778
9,RLI6-10,0.25mA,Remaining,3000,2.611111111111111
10,RLI6-10,0.25mA,Remaining,3300,5.822222222222222
11,RLI6-10,0.25mA,Remaining,3600,6.3
0,RLI6-11,1.5mA,Aversive Only,300,3.1333333333333333
1,RLI6-11,1.5mA,Aversive Only,600,4.166666666666666
2,RLI6-11,1.5mA,Aversive Only,900,4.077777777777778
3,RLI6-11,1.5mA,Aversive Only,1200,3.988888888888889
4,RLI6-11,1.5mA,Aversive Only,1500,3.6222222222222227
5,RLI6-11,1.5mA,Aversive Only,1800,6.288888888888888
6,RLI6-11,1.5mA,Aversive Only,2100,4.433333333333334
7,RLI6-11,1.5mA,Aversive Only,2400,5.611111111111111
8,RLI6-11,1.5mA,Aversive Only,2700,4.988888888888889
9,RLI6-11,1.5mA,Aversive Only,3000,5.055555555555555
10,RLI6-11,1.5mA,Aversive Only,3300,4.4111111111111105
11,RLI6-11,1.5mA,Aversive Only,3600,3.7888888888888888
0,RLI6-11,1.5mA,Overlap,300,5.844444444444444
1,RLI6-11,1.5mA,Overlap,600,5.888888888888888
2,RLI6-11,1.5mA,Overlap,900,5.088888888888889
3,RLI6-11,1.5mA,Overlap,1200,6.622222222222223
4,RLI6-11,1.5mA,Overlap,1500,5.411111111111111
5,RLI6-11,1.5mA,Overlap,1800,4.866666666666666
6,RLI6-11,1.5mA,Overlap,2100,3.7444444444444445
7,RLI6-11,1.5mA,Overlap,2400,7.644444444444444
8,RLI6-11,1.5mA,Overlap,2700,4.955555555555556
9,RLI6-11,1.5mA,Overlap,3000,3.088888888888889
10,RLI6-11,1.5mA,Overlap,3300,4.144444444444444
11,RLI6-11,1.5mA,Overlap,3600,5.822222222222222
0,RLI6-11,1.5mA,Neutral Only,300,5.111111111111112
1,RLI6-11,1.5mA,Neutral Only,600,4.477777777777778
2,RLI6-11,1.5mA,Neutral Only,900,4.044444444444444
3,RLI6-11,1.5mA,Neutral Only,1200,2.944444444444444
4,RLI6-11,1.5mA,Neutral Only,1500,3.2111111111111112
5,RLI6-11,1.5mA,Neutral Only,1800,4.388888888888888
6,RLI6-11,1.5mA,Neutral Only,2100,3.4555555555555553
7,RLI6-11,1.5mA,Neutral Only,2400,7.555555555555555
8,RLI6-11,1.5mA,Neutral Only,2700,2.922222222222222
9,RLI6-11,1.5mA,Neutral Only,3000,2.322222222222222
10,RLI6-11,1.5mA,Neutral Only,3300,4.011111111111111
11,RLI6-11,1.5mA,Neutral Only,3600,3.5444444444444443
0,RLI6-11,1.5mA,Remaining,300,2.8666666666666667
1,RLI6-11,1.5mA,Remaining,600,4.022222222222222
2,RLI6-11,1.5mA,Remaining,900,5.411111111111111
3,RLI6-11,1.5mA,Remaining,1200,3.6111111111111107
4,RLI6-11,1.5mA,Remaining,1500,2.9000000000000004
5,RLI6-11,1.5mA,Remaining,1800,4.233333333333333
6,RLI6-11,1.5mA,Remaining,2100,3.811111111111111
7,RLI6-11,1.5mA,Remaining,2400,7.966666666666667
8,RLI6-11,1.5mA,Remaining,2700,4.344444444444444
9,RLI6-11,1.5mA,Remaining,3000,2.7
10,RLI6-11,1.5mA,Remaining,3300,3.266666666666666
11,RLI6-11,1.5mA,Remaining,3600,3.6777777777777776
