,Mouse,Amplitude,Session,Fraction
92,RLI5-3,0.25mA,NeutralRecall,90.1639344262295
93,RLI5-4,1.5mA,NeutralRecall,72.98474945533769
94,RLI5-5,0.25mA,NeutralRecall,79.07444668008048
95,RLI5-6,1.5mA,NeutralRecall,70.12578616352201
96,RLI5-7,0.25mA,NeutralRecall,87.92569659442725
97,RLI5-8,1.5mA,NeutralRecall,60.30341340075853
98,RLI5-9,0.25mA,NeutralRecall,87.74373259052925
99,RLI5-10,1.5mA,NeutralRecall,71.84643510054845
100,RLI6-1,0.25mA,NeutralRecall,55.87044534412956
101,RLI6-2,1.5mA,NeutralRecall,89.59349593495935
102,RLI6-4,1.5mA,NeutralRecall,103.79746835443038
103,RLI6-6,1.5mA,NeutralRecall,52.66798418972331
104,RLI6-9,1.5mA,NeutralRecall,55.26024363233666
105,RLI6-10,0.25mA,NeutralRecall,53.99610136452242
106,RLI6-11,1.5mA,NeutralRecall,36.72055427251732
107,RLI6-12,0.25mA,NeutralRecall,82.84023668639054
108,RLI5-1,0.25mA,NovelRecall,99.81203007518798
109,RLI5-2,1.5mA,NovelRecall,119.377990430622
110,RLI5-3,0.25mA,NovelRecall,106.08899297423888
111,RLI5-4,1.5mA,NovelRecall,87.29121278140886
112,RLI5-5,0.25mA,NovelRecall,92.35412474849095
113,RLI5-6,1.5mA,NovelRecall,76.10062893081762
114,RLI5-7,0.25mA,NovelRecall,85.75851393188854
115,RLI5-8,1.5mA,NovelRecall,80.78381795195955
116,RLI5-9,0.25mA,NovelRecall,81.33704735376045
117,RLI5-10,1.5mA,NovelRecall,54.296160877513714
118,RLI6-1,0.25mA,NovelRecall,99.59514170040485
119,RLI6-2,1.5mA,NovelRecall,97.5609756097561
120,RLI6-4,1.5mA,NovelRecall,121.94092827004219
121,RLI6-6,1.5mA,NovelRecall,56.7193675889328
122,RLI6-9,1.5mA,NovelRecall,61.01882613510521
123,RLI6-10,0.25mA,NovelRecall,51.07212475633528
124,RLI6-11,1.5mA,NovelRecall,40.877598152424945
125,RLI6-12,0.25mA,NovelRecall,55.02958579881657
