,Mouse,Amplitude,Bin,EventFrequency
6,RLI5-9,0.25mA,35.0,2.1333333333333333
7,RLI5-9,0.25mA,40.0,3.011111111111111
8,RLI5-9,0.25mA,45.0,3.7555555555555555
9,RLI5-9,0.25mA,50.0,5.21111111111111
10,RLI5-9,0.25mA,55.0,5.5888888888888895
11,RLI5-9,0.25mA,60.0,3.3666666666666663
0,RLI6-1,0.25mA,5.0,4.477777777777778
1,RLI6-1,0.25mA,10.0,7.6
2,RLI6-1,0.25mA,15.0,4.333333333333334
3,RLI6-1,0.25mA,20.0,5.055555555555555
4,RLI6-1,0.25mA,25.0,4.2555555555555555
5,RLI6-1,0.25mA,30.0,5.21111111111111
6,RLI6-1,0.25mA,35.0,3.9555555555555553
7,RLI6-1,0.25mA,40.0,4.111111111111112
8,RLI6-1,0.25mA,45.0,4.666666666666667
9,RLI6-1,0.25mA,50.0,4.722222222222222
10,RLI6-1,0.25mA,55.0,3.277777777777778
11,RLI6-1,0.25mA,60.0,5.377777777777778
0,RLI6-2,1.5mA,5.0,5.155555555555556
1,RLI6-2,1.5mA,10.0,4.633333333333333
2,RLI6-2,1.5mA,15.0,3.4444444444444446
3,RLI6-2,1.5mA,20.0,3.5222222222222226
4,RLI6-2,1.5mA,25.0,3.5666666666666664
5,RLI6-2,1.5mA,30.0,4.144444444444444
6,RLI6-2,1.5mA,35.0,4.611111111111111
7,RLI6-2,1.5mA,40.0,2.533333333333333
8,RLI6-2,1.5mA,45.0,2.522222222222222
9,RLI6-2,1.5mA,50.0,2.033333333333333
10,RLI6-2,1.5mA,55.0,3.3333333333333335
11,RLI6-2,1.5mA,60.0,7.777777777777778
0,RLI6-4,1.5mA,5.0,6.544444444444444
1,RLI6-4,1.5mA,10.0,4.833333333333333
2,RLI6-4,1.5mA,15.0,4.333333333333334
3,RLI6-4,1.5mA,20.0,3.977777777777778
4,RLI6-4,1.5mA,25.0,5.911111111111111
5,RLI6-4,1.5mA,30.0,2.7444444444444445
6,RLI6-4,1.5mA,35.0,3.9
7,RLI6-4,1.5mA,40.0,2.2333333333333334
8,RLI6-4,1.5mA,45.0,2.388888888888889
9,RLI6-4,1.5mA,50.0,2.0444444444444447
10,RLI6-4,1.5mA,55.0,2.155555555555556
11,RLI6-4,1.5mA,60.0,4.011111111111111
0,RLI6-6,1.5mA,5.0,4.688888888888889
1,RLI6-6,1.5mA,10.0,5.655555555555555
2,RLI6-6,1.5mA,15.0,5.666666666666666
3,RLI6-6,1.5mA,20.0,4.611111111111111
4,RLI6-6,1.5mA,25.0,5.800000000000001
5,RLI6-6,1.5mA,30.0,5.788888888888889
6,RLI6-6,1.5mA,35.0,5.111111111111112
7,RLI6-6,1.5mA,40.0,4.211111111111111
8,RLI6-6,1.5mA,45.0,4.311111111111112
9,RLI6-6,1.5mA,50.0,2.4
10,RLI6-6,1.5mA,55.0,5.277777777777778
11,RLI6-6,1.5mA,60.0,4.266666666666667
0,RLI6-10,0.25mA,5.0,4.9222222222222225
1,RLI6-10,0.25mA,10.0,4.777777777777778
2,RLI6-10,0.25mA,15.0,4.988888888888889
3,RLI6-10,0.25mA,20.0,3.0555555555555554
