,Mouse,Group,Skew
0,RLI9-1,True,2.5829489726751205
1,RLI9-1,Shuffle,1.3369863036995526
0,RLI9-2,True,2.3248243859936033
1,RLI9-2,Shuffle,0.47270153083636135
0,RLI9-3,True,1.9742120684412954
1,RLI9-3,Shuffle,0.8186273875473631
0,RLI9-4,True,2.134746890872749
1,RLI9-4,Shuffle,0.6502652347139164
0,RLI9-5,True,3.651698925526901
1,RLI9-5,Shuffle,1.9078699221935724
0,RLI9-6,True,2.5805180864806267
1,RLI9-6,Shuffle,0.7537912251705354
0,RLI9-7,True,2.3332656700205847
1,RLI9-7,Shuffle,0.5081263658366597
0,RLI9-8,True,1.7647980896728899
1,RLI9-8,Shuffle,0.6665424329013205
