,Mouse,Amplitude,Ensemble,TimeBin,Activity
89,RLI9-7,1.5mA,Novel,3,0.011962901356577592
90,RLI9-7,1.5mA,Overlap,3,0.03382846626289633
91,RLI9-7,1.5mA,Remaining,3,-0.016552405257190164
92,RLI9-8,1.5mA,Aversive,3,0.03809842341859953
93,RLI9-8,1.5mA,Novel,3,0.017571803960765586
94,RLI9-8,1.5mA,Overlap,3,0.038440157054480395
95,RLI9-8,1.5mA,Remaining,3,-0.014856169127115076
96,RLI9-1,1.5mA,Aversive,4,-0.03140261083361649
97,RLI9-1,1.5mA,Novel,4,-0.013051408844705244
98,RLI9-1,1.5mA,Overlap,4,0.0035542551520965473
99,RLI9-1,1.5mA,Remaining,4,-0.015562370817651567
100,RLI9-2,1.5mA,Aversive,4,-0.00293952182160842
101,RLI9-2,1.5mA,Novel,4,-0.009966109477345131
102,RLI9-2,1.5mA,Overlap,4,0.030574802204811933
103,RLI9-2,1.5mA,Remaining,4,-0.025110960351276246
104,RLI9-3,1.5mA,Aversive,4,0.004403947712997169
105,RLI9-3,1.5mA,Novel,4,0.007063250084585559
106,RLI9-3,1.5mA,Overlap,4,0.012031488719337891
107,RLI9-3,1.5mA,Remaining,4,-0.020601975516612584
108,RLI9-4,1.5mA,Aversive,4,0.027446483519778946
109,RLI9-4,1.5mA,Novel,4,0.0017141749937598844
110,RLI9-4,1.5mA,Overlap,4,0.025710741527069206
111,RLI9-4,1.5mA,Remaining,4,-0.0210648862939211
112,RLI9-5,1.5mA,Aversive,4,0.0149244876478729
113,RLI9-5,1.5mA,Novel,4,0.010555007189421683
114,RLI9-5,1.5mA,Overlap,4,0.060551348206257384
115,RLI9-5,1.5mA,Remaining,4,-0.01155819699390501
116,RLI9-6,1.5mA,Aversive,4,0.02847331893707241
117,RLI9-6,1.5mA,Novel,4,-0.0011179717958096622
118,RLI9-6,1.5mA,Overlap,4,0.03777777619406115
119,RLI9-6,1.5mA,Remaining,4,-0.017767936516471863
120,RLI9-7,1.5mA,Aversive,4,0.012943743126178065
121,RLI9-7,1.5mA,Novel,4,0.01619563909221229
122,RLI9-7,1.5mA,Overlap,4,0.026047354318156902
123,RLI9-7,1.5mA,Remaining,4,-0.018207845051148308
124,RLI9-8,1.5mA,Aversive,4,0.03617229755313144
125,RLI9-8,1.5mA,Novel,4,0.02047581921090683
126,RLI9-8,1.5mA,Overlap,4,0.034615023871110984
127,RLI9-8,1.5mA,Remaining,4,-0.018122724155986928
128,RLI9-1,1.5mA,Aversive,5,-0.03656849066008983
129,RLI9-1,1.5mA,Novel,5,-0.01035917929592365
130,RLI9-1,1.5mA,Overlap,5,-0.004642200096704039
131,RLI9-1,1.5mA,Remaining,5,-0.022492890768173852
132,RLI9-2,1.5mA,Aversive,5,-0.0008596811489032638
133,RLI9-2,1.5mA,Novel,5,-0.014257195696602085
134,RLI9-2,1.5mA,Overlap,5,0.031046726023261636
135,RLI9-2,1.5mA,Remaining,5,-0.027834135938414654
136,RLI9-3,1.5mA,Aversive,5,0.0034949917019678933
137,RLI9-3,1.5mA,Novel,5,0.009423491981002261
138,RLI9-3,1.5mA,Overlap,5,0.01474465312351051
139,RLI9-3,1.5mA,Remaining,5,-0.02228360735123976
140,RLI9-4,1.5mA,Aversive,5,0.023649935773705548
141,RLI9-4,1.5mA,Novel,5,-0.0014848346873181006
142,RLI9-4,1.5mA,Overlap,5,0.020189503619925976
143,RLI9-4,1.5mA,Remaining,5,-0.021658782212759173
144,RLI9-5,1.5mA,Aversive,5,0.0033296459823543537
145,RLI9-5,1.5mA,Novel,5,0.009751710186596436
146,RLI9-5,1.5mA,Overlap,5,0.038168993611317176
147,RLI9-5,1.5mA,Remaining,5,-0.013145529982277433
148,RLI9-6,1.5mA,Aversive,5,0.014673730042175216
149,RLI9-6,1.5mA,Novel,5,-0.003201631827074494
150,RLI9-6,1.5mA,Overlap,5,0.028420853196917187
151,RLI9-6,1.5mA,Remaining,5,-0.022333259964722196
152,RLI9-7,1.5mA,Aversive,5,0.008884116355397351
153,RLI9-7,1.5mA,Novel,5,0.004150339993842452
154,RLI9-7,1.5mA,Overlap,5,0.01532757698288158
155,RLI9-7,1.5mA,Remaining,5,-0.02160225496764599
156,RLI9-8,1.5mA,Aversive,5,0.029791171252856137
157,RLI9-8,1.5mA,Novel,5,0.006515518507599429
158,RLI9-8,1.5mA,Overlap,5,0.02627421967079641
159,RLI9-8,1.5mA,Remaining,5,-0.02330171067232025
160,RLI9-1,1.5mA,Aversive,6,-0.04036993322495252
161,RLI9-1,1.5mA,Novel,6,-0.01673832101017569
162,RLI9-1,1.5mA,Overlap,6,-0.014888491591524977
163,RLI9-1,1.5mA,Remaining,6,-0.02811794197477562
164,RLI9-2,1.5mA,Aversive,6,-0.006008732397939592
165,RLI9-2,1.5mA,Novel,6,-0.013689883563580207
166,RLI9-2,1.5mA,Overlap,6,0.029504212892020983
167,RLI9-2,1.5mA,Remaining,6,-0.030878190567877026
168,RLI9-3,1.5mA,Aversive,6,0.00013006999295929505
169,RLI9-3,1.5mA,Novel,6,0.008141271336278818
170,RLI9-3,1.5mA,Overlap,6,0.009066519865786514
171,RLI9-3,1.5mA,Remaining,6,-0.021240494229178807
172,RLI9-4,1.5mA,Aversive,6,0.007998154992997523
173,RLI9-4,1.5mA,Novel,6,-0.010867876479231306
174,RLI9-4,1.5mA,Overlap,6,0.013867810423208345
175,RLI9-4,1.5mA,Remaining,6,-0.025925928742209538
176,RLI9-5,1.5mA,Aversive,6,0.01916424032136719
177,RLI9-5,1.5mA,Novel,6,-0.010009966371517035
178,RLI9-5,1.5mA,Overlap,6,0.04961917609856928
179,RLI9-5,1.5mA,Remaining,6,-0.018676451161274508
180,RLI9-6,1.5mA,Aversive,6,0.011854717819060516
181,RLI9-6,1.5mA,Novel,6,-0.002263231717874737
182,RLI9-6,1.5mA,Overlap,6,0.03009702174315623
183,RLI9-6,1.5mA,Remaining,6,-0.01911511843949006
184,RLI9-7,1.5mA,Aversive,6,0.0067387428192995326
185,RLI9-7,1.5mA,Novel,6,0.001073745448147437
186,RLI9-7,1.5mA,Overlap,6,0.024105185840128905
187,RLI9-7,1.5mA,Remaining,6,-0.02373205003560196
188,RLI9-8,1.5mA,Aversive,6,0.020723084512210263
189,RLI9-8,1.5mA,Novel,6,0.0010336030938008919
190,RLI9-8,1.5mA,Overlap,6,0.026386942130696325
191,RLI9-8,1.5mA,Remaining,6,-0.026114827796297865
