,Mouse,Amplitude,BehavioralState,Ensemble,FiringRate,CellIndex
7160,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05805894299642934,3774.0
7161,RLI9-6,1.5mA,Quiet Rest,Fear,-0.032737444018502114,3775.0
7162,RLI9-6,1.5mA,Quiet Rest,Fear,0.34989555188935,3776.0
7163,RLI9-6,1.5mA,Quiet Rest,Fear,-0.013991728903694264,3777.0
7164,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05625119398510646,3778.0
7165,RLI9-6,1.5mA,Quiet Rest,Fear,-0.0157005132185179,3779.0
7166,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.037637894508523506,3780.0
7167,RLI9-6,1.5mA,Quiet Rest,Fear,0.06089489658091062,3781.0
7168,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06221577360656548,3782.0
7169,RLI9-6,1.5mA,Quiet Rest,Fear,0.017698320926116427,3783.0
7170,RLI9-6,1.5mA,Quiet Rest,Fear,-0.001719335805448244,3784.0
7171,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05706244381746312,3785.0
7172,RLI9-6,1.5mA,Quiet Rest,Fear,0.17962552285333147,3786.0
7173,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.009839902344318302,3787.0
7174,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.014824902515757691,3788.0
7175,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.026430174853190092,3789.0
7176,RLI9-6,1.5mA,Quiet Rest,Fear,-0.026040898510639794,3790.0
7177,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.010582022349081002,3791.0
7178,RLI9-6,1.5mA,Quiet Rest,Fear,-0.03962897107972022,3792.0
7179,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.00734924084531592,3793.0
7180,RLI9-6,1.5mA,Quiet Rest,Remaining,0.013356958171567207,3794.0
7181,RLI9-6,1.5mA,Quiet Rest,Fear,0.009795703252154227,3795.0
7182,RLI9-6,1.5mA,Quiet Rest,Fear,-0.032630149944733365,3796.0
7183,RLI9-6,1.5mA,Quiet Rest,Remaining,0.017325915257336188,3797.0
7184,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.019646290122852392,3798.0
7185,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05617844935229066,3799.0
7186,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.020297354758039215,3800.0
7187,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.029020309041404388,3801.0
7188,RLI9-6,1.5mA,Quiet Rest,Fear,1.054235330037061,3802.0
7189,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.041537397187584035,3803.0
7190,RLI9-6,1.5mA,Quiet Rest,Fear,0.024574646787157484,3804.0
7191,RLI9-6,1.5mA,Quiet Rest,Remaining,0.2164802855671349,3805.0
7192,RLI9-6,1.5mA,Quiet Rest,Fear,-0.028852297677041772,3806.0
7193,RLI9-6,1.5mA,Quiet Rest,Fear,-0.06267199278689434,3807.0
7194,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05708471994303579,3808.0
7195,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05599023079251578,3809.0
7196,RLI9-6,1.5mA,Quiet Rest,Fear,-0.04902226912197541,3810.0
7197,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.04387894654111485,3811.0
7198,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.060755940352599624,3812.0
7199,RLI9-6,1.5mA,Quiet Rest,Fear,-0.04386966328480831,3813.0
7200,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06306329262648262,3814.0
7201,RLI9-6,1.5mA,Quiet Rest,Remaining,0.08883097509611781,3815.0
7202,RLI9-6,1.5mA,Quiet Rest,Fear,-0.061432352368354,3816.0
7203,RLI9-6,1.5mA,Quiet Rest,Fear,-0.052619344744816776,3817.0
7204,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.005697888329353857,3818.0
7205,RLI9-6,1.5mA,Quiet Rest,Remaining,0.07167637134087043,3819.0
7206,RLI9-6,1.5mA,Quiet Rest,Remaining,0.16013257165150505,3820.0
7207,RLI9-6,1.5mA,Quiet Rest,Fear,0.12944986594152863,3821.0
7208,RLI9-6,1.5mA,Quiet Rest,Fear,-0.00249563391724248,3822.0
7209,RLI9-6,1.5mA,Quiet Rest,Remaining,0.058613051891355655,3823.0
7210,RLI9-6,1.5mA,Quiet Rest,Remaining,0.04660369249766999,3824.0
7211,RLI9-6,1.5mA,Quiet Rest,Remaining,0.0023973702476083173,3825.0
7212,RLI9-6,1.5mA,Quiet Rest,Fear,0.05395675528245399,3826.0
7213,RLI9-6,1.5mA,Quiet Rest,Fear,0.07448805444727627,3827.0
7214,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.0636141432718056,3828.0
7215,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.009149019195451125,3829.0
7216,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.03997405151375972,3830.0
7217,RLI9-6,1.5mA,Quiet Rest,Fear,0.037919961822125155,3831.0
7218,RLI9-6,1.5mA,Quiet Rest,Fear,-0.04623959175526507,3832.0
7219,RLI9-6,1.5mA,Quiet Rest,Fear,-0.03300016601070392,3833.0
7220,RLI9-6,1.5mA,Quiet Rest,Fear,0.09383689794402615,3834.0
7221,RLI9-6,1.5mA,Quiet Rest,Remaining,0.010892689347715775,3835.0
7222,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.050488618057417674,3836.0
7223,RLI9-6,1.5mA,Quiet Rest,Fear,0.0572614829208184,3837.0
7224,RLI9-6,1.5mA,Quiet Rest,Fear,-0.0043771250788149745,3838.0
7225,RLI9-6,1.5mA,Quiet Rest,Fear,0.04980025433689292,3839.0
7226,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06426469452845,3840.0
7227,RLI9-6,1.5mA,Quiet Rest,Fear,-0.03134799998935038,3841.0
7228,RLI9-6,1.5mA,Quiet Rest,Remaining,0.06211284137034978,3842.0
7229,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.0341355465525606,3843.0
