,Cell,EncodingActivity,OfflineActivity
300,300,0.16541657128698842,0.2917514004552573
301,301,0.1693226357737004,0.1000044976738367
302,302,0.17412257280966836,0.25182470159189374
303,303,0.17435252062413248,0.010808580845147447
304,304,0.17507739145247603,0.014181307464106022
305,305,0.1751122454329421,-0.0256339554610161
306,306,0.1816820322557643,0.11853258700021767
307,307,0.1920804363070532,0.03950041800415875
308,308,0.19666507333036612,0.0019329315996560563
309,309,0.2028720139237006,0.14094126577761995
310,310,0.20550922056409066,0.085775419105531
311,311,0.21158532570675292,0.22871954733050595
312,312,0.22984047558793805,0.07906871185831628
313,313,0.23179141195485756,0.01687613986639796
314,314,0.23740225346023647,0.06529256147764625
315,315,0.24567402477895195,0.04879928488589107
316,316,0.26136385084395647,0.04949784966518386
317,317,0.2675788201369326,0.18721284890242876
318,318,0.2691414895137427,0.1347349058193801
319,319,0.2691677766697253,0.17167377379434157
320,320,0.273304178316849,0.08524638430241419
321,321,0.2828451808765134,0.035496522260048916
322,322,0.28739146555622674,0.25848369205409294
323,323,0.293184266678748,0.46084785676659024
324,324,0.3120921037884257,0.3511354619022525
325,325,0.36827864421581585,-0.014953904575952456
326,326,0.3734856937810044,0.4450653678226756
327,327,0.47624468786381197,0.04085661862462747
