,Mouse,Amplitude,TimeBin,Motion
108,RLI9-5,1.5mA,14,1.8443824396111634
109,RLI9-6,1.5mA,14,2.0865453528164446
110,RLI9-7,1.5mA,14,2.749836478582643
111,RLI9-8,1.5mA,14,2.0693982621926486
112,RLI9-1,1.5mA,15,2.8923584602304095
113,RLI9-2,1.5mA,15,2.272991424785387
114,RLI9-3,1.5mA,15,2.42090957771309
115,RLI9-4,1.5mA,15,1.069244127908389
116,RLI9-5,1.5mA,15,2.3593523328935824
117,RLI9-6,1.5mA,15,2.97605175961666
118,RLI9-7,1.5mA,15,1.3393181876383768
119,RLI9-8,1.5mA,15,2.2012788388586695
120,RLI9-1,1.5mA,16,2.871210572864742
121,RLI9-2,1.5mA,16,3.0122538954349243
122,RLI9-3,1.5mA,16,1.946940484341324
123,RLI9-4,1.5mA,16,1.185993230588843
124,RLI9-5,1.5mA,16,2.161160203696606
125,RLI9-6,1.5mA,16,2.626853719189343
126,RLI9-7,1.5mA,16,2.0410698815005035
127,RLI9-8,1.5mA,16,2.4601406803473442
128,RLI9-1,1.5mA,17,2.4511204524438583
129,RLI9-2,1.5mA,17,2.4761519074716074
130,RLI9-3,1.5mA,17,0.9054133807211122
131,RLI9-4,1.5mA,17,2.157487989987472
132,RLI9-5,1.5mA,17,2.41662600399593
133,RLI9-6,1.5mA,17,3.1566682725737905
134,RLI9-7,1.5mA,17,2.4954981138579604
135,RLI9-8,1.5mA,17,2.4703010260220752
136,RLI9-1,1.5mA,18,3.036229878329017
137,RLI9-2,1.5mA,18,2.8115398861648475
138,RLI9-3,1.5mA,18,3.1975365608573427
139,RLI9-4,1.5mA,18,1.7100758075007731
140,RLI9-5,1.5mA,18,2.2829129835964537
141,RLI9-6,1.5mA,18,2.9840328679810333
142,RLI9-7,1.5mA,18,2.170912549732697
143,RLI9-8,1.5mA,18,2.4501764541139
144,RLI9-1,1.5mA,19,1.8689292289612351
145,RLI9-2,1.5mA,19,2.4168956890328257
146,RLI9-3,1.5mA,19,2.9486341642146323
147,RLI9-4,1.5mA,19,1.9297259352957272
148,RLI9-5,1.5mA,19,0.467561838568647
149,RLI9-6,1.5mA,19,2.4790871783005004
150,RLI9-7,1.5mA,19,2.488744327585069
151,RLI9-8,1.5mA,19,2.364593458624496
152,RLI9-1,1.5mA,20,1.7076644727768282
153,RLI9-2,1.5mA,20,1.650125621554521
154,RLI9-3,1.5mA,20,2.7691306425087063
155,RLI9-4,1.5mA,20,2.3795211955678197
156,RLI9-5,1.5mA,20,0.6865698095568273
157,RLI9-6,1.5mA,20,2.7395218895248474
158,RLI9-7,1.5mA,20,2.7236227236780275
159,RLI9-8,1.5mA,20,1.864896536810458
160,RLI9-1,1.5mA,21,1.9188360981555388
161,RLI9-2,1.5mA,21,2.865241843901109
162,RLI9-3,1.5mA,21,2.8622183252394273
163,RLI9-4,1.5mA,21,1.8665316283822206
164,RLI9-5,1.5mA,21,2.163055083988558
165,RLI9-6,1.5mA,21,3.1732729683701466
166,RLI9-7,1.5mA,21,2.0918306763389563
167,RLI9-8,1.5mA,21,1.5891764499795535
168,RLI9-1,1.5mA,22,1.9223471177736768
169,RLI9-2,1.5mA,22,2.3550556296046734
170,RLI9-3,1.5mA,22,3.2257732630390237
171,RLI9-4,1.5mA,22,2.084846483239593
172,RLI9-5,1.5mA,22,2.379034468645447
173,RLI9-6,1.5mA,22,2.954425302091474
174,RLI9-7,1.5mA,22,2.1810978542303414
175,RLI9-8,1.5mA,22,1.8304983525235685
176,RLI9-1,1.5mA,23,0.944402861702124
177,RLI9-2,1.5mA,23,2.3829344639564143
178,RLI9-3,1.5mA,23,2.7543329132020604
179,RLI9-4,1.5mA,23,2.101902156530365
180,RLI9-5,1.5mA,23,2.4803454233524467
181,RLI9-6,1.5mA,23,2.851365640606828
182,RLI9-7,1.5mA,23,2.5287637078610463
183,RLI9-8,1.5mA,23,2.428758369817324
184,RLI9-1,1.5mA,24,3.0367466291527347
185,RLI9-2,1.5mA,24,2.588593335965643
186,RLI9-3,1.5mA,24,2.6982295359016937
187,RLI9-4,1.5mA,24,1.9012777815770234
188,RLI9-5,1.5mA,24,2.7115003277744893
189,RLI9-6,1.5mA,24,2.658200495074982
190,RLI9-7,1.5mA,24,2.6275951492441374
191,RLI9-8,1.5mA,24,2.5147512079774557
192,RLI9-1,1.5mA,25,2.8105559319941316
193,RLI9-2,1.5mA,25,1.9842382735941009
194,RLI9-3,1.5mA,25,2.6649429991377778
195,RLI9-4,1.5mA,25,2.1868479219798536
196,RLI9-5,1.5mA,25,2.4790189159787652
197,RLI9-6,1.5mA,25,2.268656480276206
198,RLI9-7,1.5mA,25,2.4715230711000005
199,RLI9-8,1.5mA,25,2.227972543034011
200,RLI9-1,1.5mA,26,1.8927808687689398
201,RLI9-2,1.5mA,26,2.527202042799952
202,RLI9-3,1.5mA,26,2.3976277314043912
203,RLI9-4,1.5mA,26,0.9171467610965001
204,RLI9-5,1.5mA,26,2.668860686792853
205,RLI9-6,1.5mA,26,2.7828117596045843
206,RLI9-7,1.5mA,26,1.4155072921273684
207,RLI9-8,1.5mA,26,0.6380491069532636
208,RLI9-1,1.5mA,27,1.0451347981746517
209,RLI9-2,1.5mA,27,2.8291308350347975
