,Mouse,Amplitude,Ensemble,p,r,Slope,Intercept
0,RLI9-1,1.5mA,Aversive,3.2588978087802644e-29,0.7777917414211413,0.63319146301111,-0.021008962741451743
1,RLI9-1,1.5mA,Remaining,5.308110438889993e-34,0.7044398749324504,0.3795248313891017,-0.02285923527020765
2,RLI9-2,1.5mA,Aversive,2.3326372478050266e-86,0.7197323732167895,1.442798980655776,0.015232365144002075
3,RLI9-2,1.5mA,Remaining,1.563806898155076e-70,0.7149237122726544,0.9452951431702653,0.003718175094762502
4,RLI9-3,1.5mA,Aversive,3.812771848258378e-64,0.7645509176901417,0.8380631218494532,0.004958188037787177
5,RLI9-3,1.5mA,Remaining,1.1131778564863964e-110,0.8332838051967175,0.9392147745991356,0.0003070837454703177
6,RLI9-4,1.5mA,Aversive,3.1994243628861407e-91,0.8509736478084541,0.8718881467163302,0.001788786210670372
7,RLI9-4,1.5mA,Remaining,1.7413277654094975e-162,0.8979254295185989,0.9543298063101141,-0.002093325279481519
8,RLI9-5,1.5mA,Aversive,1.8611314412821393e-17,0.7136678737591471,0.9679365054740565,-0.006917863304532148
9,RLI9-5,1.5mA,Remaining,1.747858254511401e-85,0.7731606249831069,0.5277524012182501,-0.01329525974046019
10,RLI9-6,1.5mA,Aversive,4.433980355139281e-40,0.6263601010131293,1.2887614696042835,0.0300364621747491
11,RLI9-6,1.5mA,Remaining,4.800570606778472e-38,0.5633571331075731,0.9354802851739146,0.01758413767234398
12,RLI9-7,1.5mA,Aversive,5.480640241487299e-51,0.6847305185834048,1.163269337070959,0.041371363831800255
13,RLI9-7,1.5mA,Remaining,2.5203318614580677e-96,0.7603492969787841,1.019949991772373,0.013755230879135091
14,RLI9-8,1.5mA,Aversive,1.0377055042895473e-42,0.7289924327924757,1.0060368465186904,0.015205675657086403
15,RLI9-8,1.5mA,Remaining,1.5538623728028047e-168,0.8530727492312017,0.9540174188548654,0.0032186746435617403
