,Mouse,Amplitude,BinSize,ParticipationRatio
97,RLI9-2,1.5mA,0.6000000000000001,1.066482497759829
98,RLI9-3,1.5mA,0.6000000000000001,0.9829048560755875
99,RLI9-4,1.5mA,0.6000000000000001,0.952795178835156
100,RLI9-5,1.5mA,0.6000000000000001,0.9931771339224373
101,RLI9-6,1.5mA,0.6000000000000001,1.0914058456782618
102,RLI9-7,1.5mA,0.6000000000000001,1.06970181745005
103,RLI9-8,1.5mA,0.6000000000000001,1.038503642039542
104,RLI9-1,1.5mA,0.6500000000000001,1.001822628635521
105,RLI9-2,1.5mA,0.6500000000000001,1.037978027636453
106,RLI9-3,1.5mA,0.6500000000000001,1.0114228877851086
107,RLI9-4,1.5mA,0.6500000000000001,0.9509694403709508
108,RLI9-5,1.5mA,0.6500000000000001,0.9549053713751655
109,RLI9-6,1.5mA,0.6500000000000001,1.0807263307561785
110,RLI9-7,1.5mA,0.6500000000000001,1.061330156188976
111,RLI9-8,1.5mA,0.6500000000000001,1.031533531780774
112,RLI9-1,1.5mA,0.7000000000000001,0.9656680643909802
113,RLI9-2,1.5mA,0.7000000000000001,1.0478233032447262
114,RLI9-3,1.5mA,0.7000000000000001,1.016586461121417
115,RLI9-4,1.5mA,0.7000000000000001,0.9419967906787174
116,RLI9-5,1.5mA,0.7000000000000001,0.9615519805326485
117,RLI9-6,1.5mA,0.7000000000000001,1.0614236852717578
118,RLI9-7,1.5mA,0.7000000000000001,1.065248586139951
119,RLI9-8,1.5mA,0.7000000000000001,1.0667104409238406
120,RLI9-1,1.5mA,0.7500000000000001,0.9656441650484368
121,RLI9-2,1.5mA,0.7500000000000001,1.0521005236240493
122,RLI9-3,1.5mA,0.7500000000000001,0.9923232025508937
123,RLI9-4,1.5mA,0.7500000000000001,0.9565458984317273
124,RLI9-5,1.5mA,0.7500000000000001,0.9353979353979351
125,RLI9-6,1.5mA,0.7500000000000001,1.0859607427488231
126,RLI9-7,1.5mA,0.7500000000000001,1.04963736153903
127,RLI9-8,1.5mA,0.7500000000000001,1.0472893045002922
128,RLI9-1,1.5mA,0.8,0.997200128401755
129,RLI9-2,1.5mA,0.8,1.0411760902168345
