,Mouse,CutoffFraction,Ensemble,FractionOfEnsembleCells
1,RLI12-3,88,Overlap,0.9633699633699634
2,RLI12-3,88,Neutral,1.0
3,RLI12-3,88,Remaining,0.8499399759903962
0,RLI12-3,90,Aversive,0.68
1,RLI12-3,90,Overlap,0.9633699633699634
2,RLI12-3,90,Neutral,1.0
3,RLI12-3,90,Remaining,0.8835534213685474
0,RLI12-3,92,Aversive,0.68
1,RLI12-3,92,Overlap,0.967032967032967
2,RLI12-3,92,Neutral,1.0
3,RLI12-3,92,Remaining,0.9171668667466987
0,RLI12-3,94,Aversive,0.728
1,RLI12-3,94,Overlap,0.978021978021978
2,RLI12-3,94,Neutral,1.0
3,RLI12-3,94,Remaining,0.9411764705882353
0,RLI12-3,96,Aversive,0.768
1,RLI12-3,96,Overlap,1.0
2,RLI12-3,96,Neutral,1.0
3,RLI12-3,96,Remaining,0.963985594237695
0,RLI12-3,98,Aversive,0.896
1,RLI12-3,98,Overlap,1.0
2,RLI12-3,98,Neutral,1.0
3,RLI12-3,98,Remaining,0.9795918367346939
0,RLI12-3,100,Aversive,1.0
1,RLI12-3,100,Overlap,1.0
2,RLI12-3,100,Neutral,1.0
3,RLI12-3,100,Remaining,1.0
0,RLI12-4,2,Aversive,0.024
1,RLI12-4,2,Overlap,0.03763440860215054
2,RLI12-4,2,Neutral,0.01875
3,RLI12-4,2,Remaining,0.004106776180698152
0,RLI12-4,4,Aversive,0.064
1,RLI12-4,4,Overlap,0.07795698924731183
2,RLI12-4,4,Neutral,0.025
3,RLI12-4,4,Remaining,0.008213552361396304
0,RLI12-4,6,Aversive,0.096
1,RLI12-4,6,Overlap,0.12096774193548387
2,RLI12-4,6,Neutral,0.025
3,RLI12-4,6,Remaining,0.014373716632443531
0,RLI12-4,8,Aversive,0.144
1,RLI12-4,8,Overlap,0.15053763440860216
2,RLI12-4,8,Neutral,0.0375
3,RLI12-4,8,Remaining,0.022587268993839837
0,RLI12-4,10,Aversive,0.192
1,RLI12-4,10,Overlap,0.1827956989247312
2,RLI12-4,10,Neutral,0.04375
3,RLI12-4,10,Remaining,0.030800821355236138
0,RLI12-4,12,Aversive,0.248
1,RLI12-4,12,Overlap,0.20430107526881722
2,RLI12-4,12,Neutral,0.06875
3,RLI12-4,12,Remaining,0.039014373716632446
0,RLI12-4,14,Aversive,0.264
1,RLI12-4,14,Overlap,0.239247311827957
2,RLI12-4,14,Neutral,0.08125
3,RLI12-4,14,Remaining,0.0513347022587269
0,RLI12-4,16,Aversive,0.288
1,RLI12-4,16,Overlap,0.27956989247311825
2,RLI12-4,16,Neutral,0.10625
3,RLI12-4,16,Remaining,0.053388090349075976
0,RLI12-4,18,Aversive,0.328
1,RLI12-4,18,Overlap,0.3118279569892473
2,RLI12-4,18,Neutral,0.10625
3,RLI12-4,18,Remaining,0.06365503080082136
0,RLI12-4,20,Aversive,0.384
1,RLI12-4,20,Overlap,0.3279569892473118
2,RLI12-4,20,Neutral,0.1125
3,RLI12-4,20,Remaining,0.08213552361396304
0,RLI12-4,22,Aversive,0.384
1,RLI12-4,22,Overlap,0.3333333333333333
2,RLI12-4,22,Neutral,0.1125
3,RLI12-4,22,Remaining,0.12525667351129363
0,RLI12-4,24,Aversive,0.384
1,RLI12-4,24,Overlap,0.3333333333333333
2,RLI12-4,24,Neutral,0.1125
3,RLI12-4,24,Remaining,0.17248459958932238
0,RLI12-4,26,Aversive,0.384
1,RLI12-4,26,Overlap,0.3333333333333333
2,RLI12-4,26,Neutral,0.1125
3,RLI12-4,26,Remaining,0.21971252566735114
0,RLI12-4,28,Aversive,0.384
1,RLI12-4,28,Overlap,0.3333333333333333
2,RLI12-4,28,Neutral,0.1125
3,RLI12-4,28,Remaining,0.2669404517453799
0,RLI12-4,30,Aversive,0.384
1,RLI12-4,30,Overlap,0.3333333333333333
2,RLI12-4,30,Neutral,0.1125
3,RLI12-4,30,Remaining,0.3141683778234086
0,RLI12-4,32,Aversive,0.384
1,RLI12-4,32,Overlap,0.3333333333333333
2,RLI12-4,32,Neutral,0.1125
3,RLI12-4,32,Remaining,0.3613963039014374
0,RLI12-4,34,Aversive,0.384
1,RLI12-4,34,Overlap,0.3333333333333333
2,RLI12-4,34,Neutral,0.1125
3,RLI12-4,34,Remaining,0.406570841889117
0,RLI12-4,36,Aversive,0.384
1,RLI12-4,36,Overlap,0.3333333333333333
2,RLI12-4,36,Neutral,0.1125
3,RLI12-4,36,Remaining,0.4537987679671458
0,RLI12-4,38,Aversive,0.384
1,RLI12-4,38,Overlap,0.3333333333333333
2,RLI12-4,38,Neutral,0.1125
3,RLI12-4,38,Remaining,0.5010266940451745
0,RLI12-4,40,Aversive,0.384
1,RLI12-4,40,Overlap,0.3333333333333333
2,RLI12-4,40,Neutral,0.1125
3,RLI12-4,40,Remaining,0.5482546201232033
0,RLI12-4,42,Aversive,0.384
1,RLI12-4,42,Overlap,0.3333333333333333
2,RLI12-4,42,Neutral,0.1125
3,RLI12-4,42,Remaining,0.5954825462012321
0,RLI12-4,44,Aversive,0.384
1,RLI12-4,44,Overlap,0.3333333333333333
2,RLI12-4,44,Neutral,0.1125
3,RLI12-4,44,Remaining,0.6427104722792608
0,RLI12-4,46,Aversive,0.384
1,RLI12-4,46,Overlap,0.3333333333333333
2,RLI12-4,46,Neutral,0.1125
3,RLI12-4,46,Remaining,0.6899383983572895
0,RLI12-4,48,Aversive,0.384
1,RLI12-4,48,Overlap,0.3333333333333333
2,RLI12-4,48,Neutral,0.1125
3,RLI12-4,48,Remaining,0.7371663244353183
0,RLI12-4,50,Aversive,0.384
1,RLI12-4,50,Overlap,0.3333333333333333
2,RLI12-4,50,Neutral,0.1125
3,RLI12-4,50,Remaining,0.784394250513347
0,RLI12-4,52,Aversive,0.384
1,RLI12-4,52,Overlap,0.3333333333333333
2,RLI12-4,52,Neutral,0.1125
3,RLI12-4,52,Remaining,0.8295687885010267
0,RLI12-4,54,Aversive,0.384
1,RLI12-4,54,Overlap,0.3333333333333333
2,RLI12-4,54,Neutral,0.1125
3,RLI12-4,54,Remaining,0.8767967145790554
0,RLI12-4,56,Aversive,0.384
1,RLI12-4,56,Overlap,0.3333333333333333
2,RLI12-4,56,Neutral,0.1125
3,RLI12-4,56,Remaining,0.9240246406570842
0,RLI12-4,58,Aversive,0.384
1,RLI12-4,58,Overlap,0.3333333333333333
2,RLI12-4,58,Neutral,0.1125
3,RLI12-4,58,Remaining,0.971252566735113
0,RLI12-4,60,Aversive,0.392
1,RLI12-4,60,Overlap,0.3790322580645161
2,RLI12-4,60,Neutral,0.1125
3,RLI12-4,60,Remaining,0.9815195071868583
0,RLI12-4,62,Aversive,0.392
1,RLI12-4,62,Overlap,0.44086021505376344
2,RLI12-4,62,Neutral,0.1125
3,RLI12-4,62,Remaining,0.9815195071868583
0,RLI12-4,64,Aversive,0.392
1,RLI12-4,64,Overlap,0.5026881720430108
2,RLI12-4,64,Neutral,0.1125
3,RLI12-4,64,Remaining,0.9815195071868583
0,RLI12-4,66,Aversive,0.392
1,RLI12-4,66,Overlap,0.5645161290322581
2,RLI12-4,66,Neutral,0.1125
3,RLI12-4,66,Remaining,0.9815195071868583
0,RLI12-4,68,Aversive,0.392
1,RLI12-4,68,Overlap,0.6236559139784946
2,RLI12-4,68,Neutral,0.1125
3,RLI12-4,68,Remaining,0.9815195071868583
0,RLI12-4,70,Aversive,0.488
1,RLI12-4,70,Overlap,0.6532258064516129
2,RLI12-4,70,Neutral,0.1125
3,RLI12-4,70,Remaining,0.9815195071868583
0,RLI12-4,72,Aversive,0.672
1,RLI12-4,72,Overlap,0.6532258064516129
2,RLI12-4,72,Neutral,0.1125
3,RLI12-4,72,Remaining,0.9815195071868583
0,RLI12-4,74,Aversive,0.856
1,RLI12-4,74,Overlap,0.6532258064516129
2,RLI12-4,74,Neutral,0.1125
3,RLI12-4,74,Remaining,0.9815195071868583
0,RLI12-4,76,Aversive,0.864
1,RLI12-4,76,Overlap,0.7123655913978495
2,RLI12-4,76,Neutral,0.1125
3,RLI12-4,76,Remaining,0.9815195071868583
0,RLI12-4,78,Aversive,0.976
1,RLI12-4,78,Overlap,0.7365591397849462
2,RLI12-4,78,Neutral,0.1125
3,RLI12-4,78,Remaining,0.9815195071868583
0,RLI12-4,80,Aversive,1.0
1,RLI12-4,80,Overlap,0.7688172043010753
2,RLI12-4,80,Neutral,0.1625
3,RLI12-4,80,Remaining,0.9815195071868583
0,RLI12-4,82,Aversive,1.0
1,RLI12-4,82,Overlap,0.7688172043010753
2,RLI12-4,82,Neutral,0.30625
3,RLI12-4,82,Remaining,0.9815195071868583
0,RLI12-4,84,Aversive,1.0
1,RLI12-4,84,Overlap,0.7688172043010753
2,RLI12-4,84,Neutral,0.44375
3,RLI12-4,84,Remaining,0.9815195071868583
0,RLI12-4,86,Aversive,1.0
1,RLI12-4,86,Overlap,0.7688172043010753
2,RLI12-4,86,Neutral,0.5875
3,RLI12-4,86,Remaining,0.9815195071868583
0,RLI12-4,88,Aversive,1.0
1,RLI12-4,88,Overlap,0.7688172043010753
2,RLI12-4,88,Neutral,0.6875
3,RLI12-4,88,Remaining,0.9958932238193019
0,RLI12-4,90,Aversive,1.0
1,RLI12-4,90,Overlap,0.7768817204301075
2,RLI12-4,90,Neutral,0.8125
3,RLI12-4,90,Remaining,0.9958932238193019
0,RLI12-4,92,Aversive,1.0
1,RLI12-4,92,Overlap,0.8387096774193549
2,RLI12-4,92,Neutral,0.8125
3,RLI12-4,92,Remaining,0.9958932238193019
0,RLI12-4,94,Aversive,1.0
1,RLI12-4,94,Overlap,0.9005376344086021
2,RLI12-4,94,Neutral,0.8125
3,RLI12-4,94,Remaining,0.9958932238193019
0,RLI12-4,96,Aversive,1.0
1,RLI12-4,96,Overlap,0.9274193548387096
2,RLI12-4,96,Neutral,0.8875
3,RLI12-4,96,Remaining,0.997946611909651
0,RLI12-4,98,Aversive,1.0
1,RLI12-4,98,Overlap,0.9435483870967742
2,RLI12-4,98,Neutral,0.99375
3,RLI12-4,98,Remaining,0.997946611909651
0,RLI12-4,100,Aversive,1.0
1,RLI12-4,100,Overlap,1.0
2,RLI12-4,100,Neutral,1.0
3,RLI12-4,100,Remaining,1.0
0,RLI12-5,2,Aversive,0.02702702702702703
1,RLI12-5,2,Overlap,0.0365296803652968
2,RLI12-5,2,Neutral,0.005154639175257732
3,RLI12-5,2,Remaining,0.00974025974025974
0,RLI12-5,4,Aversive,0.05405405405405406
1,RLI12-5,4,Overlap,0.07990867579908675
2,RLI12-5,4,Neutral,0.030927835051546393
3,RLI12-5,4,Remaining,0.00974025974025974
0,RLI12-5,6,Aversive,0.06756756756756757
1,RLI12-5,6,Overlap,0.1141552511415525
2,RLI12-5,6,Neutral,0.05670103092783505
3,RLI12-5,6,Remaining,0.01948051948051948
0,RLI12-5,8,Aversive,0.10135135135135136
1,RLI12-5,8,Overlap,0.14840182648401826
2,RLI12-5,8,Neutral,0.08762886597938144
3,RLI12-5,8,Remaining,0.022727272727272728
0,RLI12-5,10,Aversive,0.11486486486486487
1,RLI12-5,10,Overlap,0.18036529680365296
2,RLI12-5,10,Neutral,0.09278350515463918
3,RLI12-5,10,Remaining,0.040584415584415584
0,RLI12-5,12,Aversive,0.11486486486486487
1,RLI12-5,12,Overlap,0.18036529680365296
2,RLI12-5,12,Neutral,0.09278350515463918
3,RLI12-5,12,Remaining,0.08603896103896104
0,RLI12-5,14,Aversive,0.11486486486486487
1,RLI12-5,14,Overlap,0.18036529680365296
2,RLI12-5,14,Neutral,0.09278350515463918
3,RLI12-5,14,Remaining,0.1314935064935065
0,RLI12-5,16,Aversive,0.11486486486486487
1,RLI12-5,16,Overlap,0.18036529680365296
2,RLI12-5,16,Neutral,0.09278350515463918
3,RLI12-5,16,Remaining,0.17694805194805194
0,RLI12-5,18,Aversive,0.11486486486486487
1,RLI12-5,18,Overlap,0.18036529680365296
2,RLI12-5,18,Neutral,0.09278350515463918
3,RLI12-5,18,Remaining,0.2224025974025974
0,RLI12-5,20,Aversive,0.12162162162162163
1,RLI12-5,20,Overlap,0.18036529680365296
2,RLI12-5,20,Neutral,0.09278350515463918
3,RLI12-5,20,Remaining,0.2662337662337662
0,RLI12-5,22,Aversive,0.12162162162162163
1,RLI12-5,22,Overlap,0.18036529680365296
2,RLI12-5,22,Neutral,0.13917525773195877
3,RLI12-5,22,Remaining,0.29707792207792205
0,RLI12-5,24,Aversive,0.12162162162162163
1,RLI12-5,24,Overlap,0.18036529680365296
2,RLI12-5,24,Neutral,0.20103092783505155
3,RLI12-5,24,Remaining,0.32305194805194803
0,RLI12-5,26,Aversive,0.12162162162162163
1,RLI12-5,26,Overlap,0.18036529680365296
2,RLI12-5,26,Neutral,0.211340206185567
3,RLI12-5,26,Remaining,0.36363636363636365
0,RLI12-5,28,Aversive,0.12162162162162163
1,RLI12-5,28,Overlap,0.18036529680365296
2,RLI12-5,28,Neutral,0.211340206185567
3,RLI12-5,28,Remaining,0.4090909090909091
0,RLI12-5,30,Aversive,0.12162162162162163
1,RLI12-5,30,Overlap,0.18036529680365296
2,RLI12-5,30,Neutral,0.211340206185567
3,RLI12-5,30,Remaining,0.45454545454545453
0,RLI12-5,32,Aversive,0.12162162162162163
1,RLI12-5,32,Overlap,0.18036529680365296
2,RLI12-5,32,Neutral,0.211340206185567
3,RLI12-5,32,Remaining,0.5
0,RLI12-5,34,Aversive,0.12162162162162163
1,RLI12-5,34,Overlap,0.18036529680365296
2,RLI12-5,34,Neutral,0.211340206185567
3,RLI12-5,34,Remaining,0.5454545454545454
0,RLI12-5,36,Aversive,0.12162162162162163
1,RLI12-5,36,Overlap,0.18036529680365296
2,RLI12-5,36,Neutral,0.211340206185567
3,RLI12-5,36,Remaining,0.5909090909090909
0,RLI12-5,38,Aversive,0.12162162162162163
1,RLI12-5,38,Overlap,0.18036529680365296
2,RLI12-5,38,Neutral,0.211340206185567
3,RLI12-5,38,Remaining,0.6363636363636364
0,RLI12-5,40,Aversive,0.12162162162162163
1,RLI12-5,40,Overlap,0.18036529680365296
2,RLI12-5,40,Neutral,0.211340206185567
3,RLI12-5,40,Remaining,0.6818181818181818
0,RLI12-5,42,Aversive,0.12162162162162163
1,RLI12-5,42,Overlap,0.18036529680365296
2,RLI12-5,42,Neutral,0.211340206185567
3,RLI12-5,42,Remaining,0.7272727272727273
0,RLI12-5,44,Aversive,0.12162162162162163
1,RLI12-5,44,Overlap,0.18036529680365296
2,RLI12-5,44,Neutral,0.211340206185567
3,RLI12-5,44,Remaining,0.7727272727272727
0,RLI12-5,46,Aversive,0.12162162162162163
1,RLI12-5,46,Overlap,0.18036529680365296
2,RLI12-5,46,Neutral,0.211340206185567
3,RLI12-5,46,Remaining,0.8181818181818182
0,RLI12-5,48,Aversive,0.12162162162162163
1,RLI12-5,48,Overlap,0.18036529680365296
2,RLI12-5,48,Neutral,0.21649484536082475
3,RLI12-5,48,Remaining,0.862012987012987
0,RLI12-5,50,Aversive,0.12162162162162163
1,RLI12-5,50,Overlap,0.18036529680365296
2,RLI12-5,50,Neutral,0.21649484536082475
3,RLI12-5,50,Remaining,0.9074675324675324
0,RLI12-5,52,Aversive,0.12162162162162163
1,RLI12-5,52,Overlap,0.18036529680365296
2,RLI12-5,52,Neutral,0.21649484536082475
3,RLI12-5,52,Remaining,0.9512987012987013
0,RLI12-5,54,Aversive,0.12162162162162163
1,RLI12-5,54,Overlap,0.18036529680365296
2,RLI12-5,54,Neutral,0.21649484536082475
3,RLI12-5,54,Remaining,0.9967532467532467
0,RLI12-5,56,Aversive,0.12162162162162163
1,RLI12-5,56,Overlap,0.2374429223744292
2,RLI12-5,56,Neutral,0.23195876288659795
3,RLI12-5,56,Remaining,0.9967532467532467
0,RLI12-5,58,Aversive,0.12162162162162163
1,RLI12-5,58,Overlap,0.3013698630136986
2,RLI12-5,58,Neutral,0.23195876288659795
3,RLI12-5,58,Remaining,0.9967532467532467
0,RLI12-5,60,Aversive,0.12162162162162163
1,RLI12-5,60,Overlap,0.365296803652968
2,RLI12-5,60,Neutral,0.23195876288659795
3,RLI12-5,60,Remaining,0.9967532467532467
0,RLI12-5,62,Aversive,0.12162162162162163
1,RLI12-5,62,Overlap,0.4292237442922374
2,RLI12-5,62,Neutral,0.23195876288659795
3,RLI12-5,62,Remaining,0.9967532467532467
0,RLI12-5,64,Aversive,0.12162162162162163
1,RLI12-5,64,Overlap,0.4931506849315068
2,RLI12-5,64,Neutral,0.23195876288659795
3,RLI12-5,64,Remaining,0.9967532467532467
0,RLI12-5,66,Aversive,0.1554054054054054
1,RLI12-5,66,Overlap,0.545662100456621
2,RLI12-5,66,Neutral,0.23195876288659795
3,RLI12-5,66,Remaining,0.9967532467532467
0,RLI12-5,68,Aversive,0.34459459459459457
1,RLI12-5,68,Overlap,0.545662100456621
2,RLI12-5,68,Neutral,0.23195876288659795
3,RLI12-5,68,Remaining,0.9967532467532467
0,RLI12-5,70,Aversive,0.5337837837837838
1,RLI12-5,70,Overlap,0.545662100456621
2,RLI12-5,70,Neutral,0.23195876288659795
3,RLI12-5,70,Remaining,0.9967532467532467
0,RLI12-5,72,Aversive,0.668918918918919
1,RLI12-5,72,Overlap,0.5639269406392694
2,RLI12-5,72,Neutral,0.23195876288659795
3,RLI12-5,72,Remaining,0.9967532467532467
0,RLI12-5,74,Aversive,0.7297297297297297
1,RLI12-5,74,Overlap,0.6073059360730594
2,RLI12-5,74,Neutral,0.23195876288659795
3,RLI12-5,74,Remaining,0.9967532467532467
0,RLI12-5,76,Aversive,0.9121621621621622
1,RLI12-5,76,Overlap,0.6073059360730594
2,RLI12-5,76,Neutral,0.23195876288659795
3,RLI12-5,76,Remaining,0.9967532467532467
0,RLI12-5,78,Aversive,1.0
1,RLI12-5,78,Overlap,0.6141552511415526
2,RLI12-5,78,Neutral,0.29381443298969073
3,RLI12-5,78,Remaining,0.9967532467532467
0,RLI12-5,80,Aversive,1.0
1,RLI12-5,80,Overlap,0.6141552511415526
2,RLI12-5,80,Neutral,0.4381443298969072
3,RLI12-5,80,Remaining,0.9967532467532467
0,RLI12-5,82,Aversive,1.0
1,RLI12-5,82,Overlap,0.6301369863013698
2,RLI12-5,82,Neutral,0.5463917525773195
3,RLI12-5,82,Remaining,0.9967532467532467
0,RLI12-5,84,Aversive,1.0
1,RLI12-5,84,Overlap,0.632420091324201
2,RLI12-5,84,Neutral,0.6855670103092784
3,RLI12-5,84,Remaining,0.9967532467532467
0,RLI12-5,86,Aversive,1.0
1,RLI12-5,86,Overlap,0.632420091324201
2,RLI12-5,86,Neutral,0.8298969072164949
3,RLI12-5,86,Remaining,0.9967532467532467
0,RLI12-5,88,Aversive,1.0
1,RLI12-5,88,Overlap,0.632420091324201
2,RLI12-5,88,Neutral,0.9742268041237113
3,RLI12-5,88,Remaining,0.9967532467532467
0,RLI12-5,90,Aversive,1.0
1,RLI12-5,90,Overlap,0.682648401826484
2,RLI12-5,90,Neutral,1.0
3,RLI12-5,90,Remaining,0.9983766233766234
0,RLI12-5,92,Aversive,1.0
1,RLI12-5,92,Overlap,0.7465753424657534
2,RLI12-5,92,Neutral,1.0
3,RLI12-5,92,Remaining,0.9983766233766234
0,RLI12-5,94,Aversive,1.0
1,RLI12-5,94,Overlap,0.8105022831050228
2,RLI12-5,94,Neutral,1.0
3,RLI12-5,94,Remaining,0.9983766233766234
0,RLI12-5,96,Aversive,1.0
1,RLI12-5,96,Overlap,0.8744292237442922
2,RLI12-5,96,Neutral,1.0
3,RLI12-5,96,Remaining,0.9983766233766234
0,RLI12-5,98,Aversive,1.0
1,RLI12-5,98,Overlap,0.9383561643835616
2,RLI12-5,98,Neutral,1.0
3,RLI12-5,98,Remaining,0.9983766233766234
0,RLI12-5,100,Aversive,1.0
1,RLI12-5,100,Overlap,1.0
2,RLI12-5,100,Neutral,1.0
3,RLI12-5,100,Remaining,1.0
