,Mouse,CutoffFraction,Ensemble,FractionOfEnsembleCells
2,RLI12-1,56,Neutral,0.20652173913043478
3,RLI12-1,56,Remaining,0.8567026194144838
0,RLI12-1,58,Aversive,0.19285714285714287
1,RLI12-1,58,Overlap,0.3737864077669903
2,RLI12-1,58,Neutral,0.20652173913043478
3,RLI12-1,58,Remaining,0.8998459167950693
0,RLI12-1,60,Aversive,0.2
1,RLI12-1,60,Overlap,0.41262135922330095
2,RLI12-1,60,Neutral,0.20652173913043478
3,RLI12-1,60,Remaining,0.9167950693374423
0,RLI12-1,62,Aversive,0.2
1,RLI12-1,62,Overlap,0.47815533980582525
2,RLI12-1,62,Neutral,0.20652173913043478
3,RLI12-1,62,Remaining,0.9167950693374423
0,RLI12-1,64,Aversive,0.2
1,RLI12-1,64,Overlap,0.5461165048543689
2,RLI12-1,64,Neutral,0.20652173913043478
3,RLI12-1,64,Remaining,0.9167950693374423
0,RLI12-1,66,Aversive,0.2
1,RLI12-1,66,Overlap,0.6140776699029126
2,RLI12-1,66,Neutral,0.20652173913043478
3,RLI12-1,66,Remaining,0.9167950693374423
0,RLI12-1,68,Aversive,0.2
1,RLI12-1,68,Overlap,0.6796116504854369
2,RLI12-1,68,Neutral,0.20652173913043478
3,RLI12-1,68,Remaining,0.9167950693374423
0,RLI12-1,70,Aversive,0.2785714285714286
1,RLI12-1,70,Overlap,0.720873786407767
2,RLI12-1,70,Neutral,0.20652173913043478
3,RLI12-1,70,Remaining,0.9167950693374423
0,RLI12-1,72,Aversive,0.4785714285714286
1,RLI12-1,72,Overlap,0.720873786407767
2,RLI12-1,72,Neutral,0.20652173913043478
3,RLI12-1,72,Remaining,0.9167950693374423
0,RLI12-1,74,Aversive,0.6714285714285714
1,RLI12-1,74,Overlap,0.720873786407767
2,RLI12-1,74,Neutral,0.20652173913043478
3,RLI12-1,74,Remaining,0.9167950693374423
0,RLI12-1,76,Aversive,0.75
1,RLI12-1,76,Overlap,0.7621359223300971
2,RLI12-1,76,Neutral,0.20652173913043478
3,RLI12-1,76,Remaining,0.9167950693374423
0,RLI12-1,78,Aversive,0.8714285714285714
1,RLI12-1,78,Overlap,0.7888349514563107
2,RLI12-1,78,Neutral,0.20652173913043478
3,RLI12-1,78,Remaining,0.9167950693374423
0,RLI12-1,80,Aversive,1.0
1,RLI12-1,80,Overlap,0.7936893203883495
2,RLI12-1,80,Neutral,0.24456521739130435
3,RLI12-1,80,Remaining,0.9183359013867488
0,RLI12-1,82,Aversive,1.0
1,RLI12-1,82,Overlap,0.7936893203883495
2,RLI12-1,82,Neutral,0.3858695652173913
3,RLI12-1,82,Remaining,0.9198767334360555
0,RLI12-1,84,Aversive,1.0
1,RLI12-1,84,Overlap,0.7936893203883495
2,RLI12-1,84,Neutral,0.5380434782608695
3,RLI12-1,84,Remaining,0.9198767334360555
0,RLI12-1,86,Aversive,1.0
1,RLI12-1,86,Overlap,0.7936893203883495
2,RLI12-1,86,Neutral,0.5869565217391305
3,RLI12-1,86,Remaining,0.9491525423728814
0,RLI12-1,88,Aversive,1.0
1,RLI12-1,88,Overlap,0.7936893203883495
2,RLI12-1,88,Neutral,0.6467391304347826
3,RLI12-1,88,Remaining,0.9738058551617874
0,RLI12-1,90,Aversive,1.0
1,RLI12-1,90,Overlap,0.8009708737864077
2,RLI12-1,90,Neutral,0.6902173913043478
3,RLI12-1,90,Remaining,1.0
0,RLI12-1,92,Aversive,1.0
1,RLI12-1,92,Overlap,0.8689320388349514
2,RLI12-1,92,Neutral,0.6902173913043478
3,RLI12-1,92,Remaining,1.0
0,RLI12-1,94,Aversive,1.0
1,RLI12-1,94,Overlap,0.9344660194174758
2,RLI12-1,94,Neutral,0.6902173913043478
3,RLI12-1,94,Remaining,1.0
0,RLI12-1,96,Aversive,1.0
1,RLI12-1,96,Overlap,0.9684466019417476
2,RLI12-1,96,Neutral,0.7663043478260869
3,RLI12-1,96,Remaining,1.0
0,RLI12-1,98,Aversive,1.0
1,RLI12-1,98,Overlap,0.9805825242718447
2,RLI12-1,98,Neutral,0.8913043478260869
3,RLI12-1,98,Remaining,1.0
0,RLI12-1,100,Aversive,1.0
1,RLI12-1,100,Overlap,1.0
2,RLI12-1,100,Neutral,1.0
3,RLI12-1,100,Remaining,1.0
0,RLI12-2,2,Aversive,0.03076923076923077
1,RLI12-2,2,Overlap,0.06514657980456026
2,RLI12-2,2,Remaining,0.005714285714285714
3,RLI12-2,2,Neutral,0.0
0,RLI12-2,4,Aversive,0.046153846153846156
1,RLI12-2,4,Overlap,0.1270358306188925
2,RLI12-2,4,Neutral,0.012903225806451613
3,RLI12-2,4,Remaining,0.012571428571428572
0,RLI12-2,6,Aversive,0.11538461538461539
1,RLI12-2,6,Overlap,0.1758957654723127
2,RLI12-2,6,Neutral,0.025806451612903226
3,RLI12-2,6,Remaining,0.017142857142857144
0,RLI12-2,8,Aversive,0.13076923076923078
1,RLI12-2,8,Overlap,0.24104234527687296
2,RLI12-2,8,Neutral,0.05161290322580645
3,RLI12-2,8,Remaining,0.02057142857142857
0,RLI12-2,10,Aversive,0.18461538461538463
1,RLI12-2,10,Overlap,0.28664495114006516
2,RLI12-2,10,Neutral,0.07741935483870968
3,RLI12-2,10,Remaining,0.025142857142857144
0,RLI12-2,12,Aversive,0.2153846153846154
1,RLI12-2,12,Overlap,0.3322475570032573
2,RLI12-2,12,Neutral,0.1032258064516129
3,RLI12-2,12,Remaining,0.03428571428571429
0,RLI12-2,14,Aversive,0.23846153846153847
1,RLI12-2,14,Overlap,0.3941368078175896
2,RLI12-2,14,Neutral,0.10967741935483871
3,RLI12-2,14,Remaining,0.04114285714285714
0,RLI12-2,16,Aversive,0.27692307692307694
1,RLI12-2,16,Overlap,0.42996742671009774
2,RLI12-2,16,Neutral,0.16774193548387098
3,RLI12-2,16,Remaining,0.045714285714285714
0,RLI12-2,18,Aversive,0.2846153846153846
1,RLI12-2,18,Overlap,0.46905537459283386
2,RLI12-2,18,Neutral,0.18064516129032257
3,RLI12-2,18,Remaining,0.06285714285714286
0,RLI12-2,20,Aversive,0.2846153846153846
1,RLI12-2,20,Overlap,0.46905537459283386
2,RLI12-2,20,Neutral,0.18064516129032257
3,RLI12-2,20,Remaining,0.096
0,RLI12-2,22,Aversive,0.2846153846153846
1,RLI12-2,22,Overlap,0.46905537459283386
2,RLI12-2,22,Neutral,0.18064516129032257
3,RLI12-2,22,Remaining,0.12914285714285714
0,RLI12-2,24,Aversive,0.2846153846153846
1,RLI12-2,24,Overlap,0.46905537459283386
2,RLI12-2,24,Neutral,0.18064516129032257
3,RLI12-2,24,Remaining,0.16342857142857142
0,RLI12-2,26,Aversive,0.2923076923076923
1,RLI12-2,26,Overlap,0.46905537459283386
2,RLI12-2,26,Neutral,0.18064516129032257
3,RLI12-2,26,Remaining,0.19542857142857142
0,RLI12-2,28,Aversive,0.2923076923076923
1,RLI12-2,28,Overlap,0.46905537459283386
2,RLI12-2,28,Neutral,0.18064516129032257
3,RLI12-2,28,Remaining,0.22857142857142856
0,RLI12-2,30,Aversive,0.2923076923076923
1,RLI12-2,30,Overlap,0.46905537459283386
2,RLI12-2,30,Neutral,0.18064516129032257
3,RLI12-2,30,Remaining,0.26285714285714284
0,RLI12-2,32,Aversive,0.2923076923076923
1,RLI12-2,32,Overlap,0.46905537459283386
2,RLI12-2,32,Neutral,0.18064516129032257
3,RLI12-2,32,Remaining,0.296
0,RLI12-2,34,Aversive,0.2923076923076923
1,RLI12-2,34,Overlap,0.46905537459283386
2,RLI12-2,34,Neutral,0.18064516129032257
3,RLI12-2,34,Remaining,0.3291428571428571
0,RLI12-2,36,Aversive,0.2923076923076923
1,RLI12-2,36,Overlap,0.46905537459283386
2,RLI12-2,36,Neutral,0.18064516129032257
3,RLI12-2,36,Remaining,0.36342857142857143
0,RLI12-2,38,Aversive,0.2923076923076923
1,RLI12-2,38,Overlap,0.46905537459283386
2,RLI12-2,38,Neutral,0.18064516129032257
3,RLI12-2,38,Remaining,0.3965714285714286
0,RLI12-2,40,Aversive,0.2923076923076923
1,RLI12-2,40,Overlap,0.46905537459283386
2,RLI12-2,40,Neutral,0.18064516129032257
3,RLI12-2,40,Remaining,0.4297142857142857
0,RLI12-2,42,Aversive,0.2923076923076923
1,RLI12-2,42,Overlap,0.46905537459283386
2,RLI12-2,42,Neutral,0.18064516129032257
3,RLI12-2,42,Remaining,0.464
0,RLI12-2,44,Aversive,0.2923076923076923
1,RLI12-2,44,Overlap,0.46905537459283386
2,RLI12-2,44,Neutral,0.18064516129032257
3,RLI12-2,44,Remaining,0.49714285714285716
0,RLI12-2,46,Aversive,0.2923076923076923
1,RLI12-2,46,Overlap,0.46905537459283386
2,RLI12-2,46,Neutral,0.18064516129032257
3,RLI12-2,46,Remaining,0.5302857142857142
0,RLI12-2,48,Aversive,0.2923076923076923
1,RLI12-2,48,Overlap,0.46905537459283386
2,RLI12-2,48,Neutral,0.18064516129032257
3,RLI12-2,48,Remaining,0.5645714285714286
0,RLI12-2,50,Aversive,0.2923076923076923
1,RLI12-2,50,Overlap,0.46905537459283386
2,RLI12-2,50,Neutral,0.18064516129032257
3,RLI12-2,50,Remaining,0.5977142857142858
0,RLI12-2,52,Aversive,0.2923076923076923
1,RLI12-2,52,Overlap,0.46905537459283386
2,RLI12-2,52,Neutral,0.18064516129032257
3,RLI12-2,52,Remaining,0.6308571428571429
0,RLI12-2,54,Aversive,0.2923076923076923
1,RLI12-2,54,Overlap,0.46905537459283386
2,RLI12-2,54,Neutral,0.18064516129032257
3,RLI12-2,54,Remaining,0.6651428571428571
0,RLI12-2,56,Aversive,0.2923076923076923
1,RLI12-2,56,Overlap,0.46905537459283386
2,RLI12-2,56,Neutral,0.18064516129032257
3,RLI12-2,56,Remaining,0.6982857142857143
0,RLI12-2,58,Aversive,0.2923076923076923
1,RLI12-2,58,Overlap,0.46905537459283386
2,RLI12-2,58,Neutral,0.18064516129032257
3,RLI12-2,58,Remaining,0.7314285714285714
0,RLI12-2,60,Aversive,0.2923076923076923
1,RLI12-2,60,Overlap,0.5179153094462541
2,RLI12-2,60,Neutral,0.18064516129032257
3,RLI12-2,60,Remaining,0.7485714285714286
0,RLI12-2,62,Aversive,0.2923076923076923
1,RLI12-2,62,Overlap,0.6123778501628665
2,RLI12-2,62,Neutral,0.18064516129032257
3,RLI12-2,62,Remaining,0.7485714285714286
0,RLI12-2,64,Aversive,0.2923076923076923
1,RLI12-2,64,Overlap,0.7068403908794788
2,RLI12-2,64,Neutral,0.18064516129032257
3,RLI12-2,64,Remaining,0.7485714285714286
0,RLI12-2,66,Aversive,0.2923076923076923
1,RLI12-2,66,Overlap,0.7133550488599348
2,RLI12-2,66,Neutral,0.36129032258064514
3,RLI12-2,66,Remaining,0.7485714285714286
0,RLI12-2,68,Aversive,0.2923076923076923
1,RLI12-2,68,Overlap,0.7752442996742671
2,RLI12-2,68,Neutral,0.4258064516129032
3,RLI12-2,68,Remaining,0.7485714285714286
0,RLI12-2,70,Aversive,0.36923076923076925
1,RLI12-2,70,Overlap,0.8175895765472313
2,RLI12-2,70,Neutral,0.4645161290322581
3,RLI12-2,70,Remaining,0.7485714285714286
0,RLI12-2,72,Aversive,0.6
1,RLI12-2,72,Overlap,0.8175895765472313
2,RLI12-2,72,Neutral,0.4645161290322581
3,RLI12-2,72,Remaining,0.7485714285714286
0,RLI12-2,74,Aversive,0.823076923076923
1,RLI12-2,74,Overlap,0.8175895765472313
2,RLI12-2,74,Neutral,0.4645161290322581
3,RLI12-2,74,Remaining,0.7485714285714286
0,RLI12-2,76,Aversive,0.8692307692307693
1,RLI12-2,76,Overlap,0.8925081433224755
2,RLI12-2,76,Neutral,0.4645161290322581
