,Mouse,CutoffFraction,Ensemble,FractionOfGadCells
3,RLI12-1,56,Remaining,0.7174193548387097
0,RLI12-1,58,Aversive,0.033623910336239106
1,RLI12-1,58,Overlap,0.1917808219178082
2,RLI12-1,58,Neutral,0.047322540473225407
3,RLI12-1,58,Remaining,0.7272727272727273
0,RLI12-1,60,Aversive,0.03369434416365824
1,RLI12-1,60,Overlap,0.2045728038507822
2,RLI12-1,60,Neutral,0.0457280385078219
3,RLI12-1,60,Remaining,0.7160048134777377
0,RLI12-1,62,Aversive,0.03263403263403263
1,RLI12-1,62,Overlap,0.2296037296037296
2,RLI12-1,62,Neutral,0.04428904428904429
3,RLI12-1,62,Remaining,0.6934731934731935
0,RLI12-1,64,Aversive,0.03160270880361174
1,RLI12-1,64,Overlap,0.25395033860045146
2,RLI12-1,64,Neutral,0.04288939051918736
3,RLI12-1,64,Remaining,0.6715575620767494
0,RLI12-1,66,Aversive,0.030634573304157548
1,RLI12-1,66,Overlap,0.27680525164113784
2,RLI12-1,66,Neutral,0.04157549234135667
3,RLI12-1,66,Remaining,0.650984682713348
0,RLI12-1,68,Aversive,0.02975557917109458
1,RLI12-1,68,Overlap,0.2975557917109458
2,RLI12-1,68,Neutral,0.040382571732199786
3,RLI12-1,68,Remaining,0.6323060573857598
0,RLI12-1,70,Aversive,0.04024767801857585
1,RLI12-1,70,Overlap,0.3065015479876161
2,RLI12-1,70,Neutral,0.0392156862745098
3,RLI12-1,70,Remaining,0.6140350877192983
0,RLI12-1,72,Aversive,0.06720160481444333
1,RLI12-1,72,Overlap,0.2978936810431294
2,RLI12-1,72,Neutral,0.03811434302908726
3,RLI12-1,72,Remaining,0.59679037111334
0,RLI12-1,74,Aversive,0.091796875
1,RLI12-1,74,Overlap,0.2900390625
2,RLI12-1,74,Neutral,0.037109375
3,RLI12-1,74,Remaining,0.5810546875
0,RLI12-1,76,Aversive,0.09980988593155894
1,RLI12-1,76,Overlap,0.2984790874524715
2,RLI12-1,76,Neutral,0.03612167300380228
3,RLI12-1,76,Remaining,0.5655893536121673
0,RLI12-1,78,Aversive,0.11296296296296296
1,RLI12-1,78,Overlap,0.30092592592592593
2,RLI12-1,78,Neutral,0.03518518518518519
3,RLI12-1,78,Remaining,0.5509259259259259
0,RLI12-1,80,Aversive,0.1263537906137184
1,RLI12-1,80,Overlap,0.2951263537906137
2,RLI12-1,80,Neutral,0.04061371841155235
3,RLI12-1,80,Remaining,0.5379061371841155
0,RLI12-1,82,Aversive,0.12334801762114538
1,RLI12-1,82,Overlap,0.28810572687224667
2,RLI12-1,82,Neutral,0.06255506607929516
3,RLI12-1,82,Remaining,0.5259911894273128
0,RLI12-1,84,Aversive,0.12037833190025796
1,RLI12-1,84,Overlap,0.28116938950988823
2,RLI12-1,84,Neutral,0.08512467755803955
